Museum,Sample ID,N quantity (ug),d15N,C quantity (ug),d13C
UA,UA_35440,39.1841,17.6696,112.3906,-14.6401
UA,UA_35442,42.9875,16.7648,119.8626,-14.6612
UA,UA_35445,38.0328,16.7023,106.4946,-13.9779
UA,UA_35446,45.9289,17.5925,127.2165,-13.7989
UA,UA_35447,42.6025,16.7039,126.55,-15.4261
UA,UA_35449,45.6093,17.6873,125.969,-13.6245
UA,UA_35450,34.4634,16.7397,98.9749,-14.5832
UA,UA_36254,43.1381,17.4365,123.4299,-13.7833
UA,UA_36262,34.615,15.9474,101.8168,-14.1869
UA,UA_3702,41.2408,18.4749,119.368,-13.309
UA,UA_37972,35.2144,17.0816,98.6062,-14.3699
UA,UA_37973,41.9244,17.003,118.6008,-13.1675
UA,UA_37974,42.2181,16.4499,119.0061,-13.2195
UA,UA_41613,44.2376,16.7201,122.7807,-13.4057
UA,UA_41615,41.2921,15.5507,121.2524,-14.4843
UA,UA_41616,43.6365,16.3578,121.2274,-13.542
UA,UA_41617,46.1858,16.6479,128.7652,-13.3296
UA,UA_42152,47.442,19.9123,135.3827,-13.0812
UA,UA_42152_2,47.2291,20.0173,133.4075,-13.002
UA,UA_42810,42.3891,19.6063,123.9449,-12.9398
UA,UA_52183,45.6555,17.5393,128.0938,-13.967
UA,UA_52184,46.1443,19.7202,129.3267,-13.4857
UA,UA_5260,44.8145,17.4482,128.2842,-14.2705
UA,UA_84943,42.1185,17.028,121.2668,-14.0599
UA,UA_84950,13.712,17.7951,48.548,-15.1774
UA,UA_84958,35.0226,15.283,103.0192,-15.8971
UA,UA_84959,41.3181,16.7556,119.9523,-14.3023
UA,UA_85206,31.9618,17.3782,98.3758,-14.5575
UA,UA_85207,41.7681,17.3032,127.9663,-13.9234
UA,UA_85208,40.9697,16.439,124.5042,-14.3804
UA,UA_85212,40.4558,15.6869,118.6751,-14.3123
UA,UA_85212_2,39.6189,15.9341,115.8011,-14.2779
UA,UA_85212_3,38.3924,15.6388,113.5738,-14.4397
UA,UA_87032,44.8336,17.2477,126.2547,-14.4095
UA,UA_87054,45.665,20.2229,127.7527,-13.0446
UA,UA_87056,46.1542,20.6389,128.7787,-12.6157
UA,UA_99535,37.8368,16.6342,106.3359,-14.2715
UA,UA_99536,41.6202,16.4169,119.2428,-15.0758
UA,UA_99537,82.6285,5.9016,295.1506,-14.297
UA,UA_99543,38.1177,16.1704,122.3155,-16.4521
UA,UA_99544,42.876,16.8769,117.9143,-13.3729
UA,UA_99563,41.2002,16.4207,113.3941,-14.4738
UA,UA_99566,40.0665,17.2562,115.4251,-14.1097
UA,UA_99570,40.5154,17.3091,114.3946,-14.2529
UA,UA_99571,4.1236,16.1884,17.9801,-15.7813
UA,UA_99572,35.4525,16.2203,112.4143,-15.8402
UA,UA_99575,43.5483,18.0476,120.1991,-14.2496
UA,UA_99641,43.586,16.9496,120.8155,-13.8314
UA,UA_99657,38.9598,15.3521,113.185,-14.3081
UA,UA_99658,38.7141,14.8852,111.8242,-14.4079
UA,UA_99665,41.3521,14.9035,115.36,-15.2125
UA,UA_99667,38.708,16.1819,112.8745,-14.3017
UA,UA_99693,46.099,17.1331,127.9262,-14.2467
