Museum,Sample.ID,N quantity (ug),d15N,C quantity (ug),d13C
NMML,NM_2027,48.8018,17.4521,135.7254,-13.3855
NMML,NM_2028,46.8514,17.7579,130.2305,-12.1156
NMML,NM_2032,45.4652,17.2414,127.6069,-13.1559
NMML,NM_2044,42.0802,17.9678,118.4463,-13.3601
NMML,NM_2045,41.0026,17.6852,118.5012,-13.4284
NMML,NM_2048,46.3842,17.3541,130.4872,-13.9664
NMML,NM_2048_2,46.5917,17.2906,131.3727,-13.9552
NMML,NM_2050,47.8911,17.923,134.4329,-13.2173
NMML,NM_2062,46.0641,18.3572,129.0832,-12.6153
NMML,NM_2064,47.2122,18.1152,131.3377,-12.6263
NMML,NM_2065,42.7739,16.9694,120.1673,-12.3241
NMML,NM_2066,48.8101,17.7061,134.2287,-13.2923
NMML,NM_2067,46.3945,17.8405,130.881,-12.7824
NMML,NM_2231,47.2045,17.8413,131.5467,-10.5979
NMML,NM_2232,55.5454,16.9191,157.1532,-12.9218
NMML,NM_2232_2,45.899,16.8834,130.6351,-12.9836
NMML,NM_2233,47.7112,17.0187,132.8897,-12.5233
NMML,NM_2233,44.2329,17.026,123.7433,-12.4132
NMML,NM_2234,42.7739,16.3416,121.1143,-13.1792
NMML,NM_2235,46.1939,16.3935,129.1733,-13.7537
NMML,NM_2236,42.9932,16.394,119.3807,-14.1314
NMML,NM_6068,48.0689,18.3752,133.5611,-12.7212
RM,RM_10273,43.6418,18.0237,134.0026,-12.9297
RM,RM_10273,41.6143,18.2963,115.7609,-11.6742
RM,RM_10834,36.8801,18.4654,103.3607,-13.4412
RM,RM_11409,24.5369,16.9206,68.4252,-11.7278
RM,RM_11409_2,23.0052,16.6846,65.2324,-11.7986
RM,RM_11768,21.607,18.6133,63.2897,-11.9683
RM,RM_12965,39.4628,19.3933,111.6255,-12.1163
RM,RM_12847,27.9616,18.8131,83.8712,-12.8222
RM,RM_2361,36.6028,17.739,113.9363,-14.1979
RM,RM_4934,42.314,18.8514,140.0507,-13.58
RM,RM_7412,26.9365,16.4037,77.061,-12.3778
RM,RM_7714,31.4982,17.795,89.8785,-10.3845
RM,RM_9723,25.3137,18.5437,79.9606,-12.9282
RM,RM_9729,44.9737,17.5623,134.3469,-12.0156
RM,RM_9730,3.424,13.66,14.4764,-14.8497
RM,RM_9730,25.5985,17.2797,72.8731,-10.6743
RM,RM_9732,25.2612,16.6755,72.0005,-10.845
RM,RM_9733,23.4118,17.2402,67.1679,-11.8219
RM,RM_9733,2.7226,14.2795,12.1999,-16.2413
RM,RM_9802,23.2725,17.0746,67.5885,-11.7358
RM,RM_9804,43.0499,17.43,134.0166,-12.1834
RM,RM_9874,43.6757,17.4517,127.1063,-12.973
RM,RM_9874_2,42.8614,17.5596,124.9287,-12.9768
SI,SI_253041,24.5646,18.021,71.9643,-6.6578
SI,SI_253042,29.6369,17.7126,85.6968,-10.5404
SI,SI_253042_2,29.1338,17.7505,83.5904,-10.5306
SI,SI_253043,39.3264,17.8662,110.2441,-11.2747
SI,SI_274144,23.9366,19.3902,74.4733,-13.5214
SI,SI_274146,45.1221,17.4496,128.9884,-13.3494
SI,SI_274151,42.3606,17.9564,121.0114,-11.2205
SI,SI_274152,40.1077,17.4284,123.5741,-11.9956
SI,SI_274153,39.963,18.4356,113.6882,-10.5314
SI,SI_274154,34.5493,18.3495,98.5093,-9.8041
SI,SI_274155,40.8474,17.2934,115.0283,-13.1998
SI,SI_274156,43.7584,17.3823,127.7107,-12.1703
SI,SI_276058,30.2769,18.8113,89.0584,-11.8847
SI,SI_276059,42.7058,18.8196,121.3677,-13.789
SM,SM_16096,43.8024,16.851,124.7617,-13.4157
SM,SM_15182,16.8438,17.6128,52.6257,-11.9991
SM,SM_25700,24.3998,17.0688,69.0155,-12.8295
SM,SM_25695,22.3245,16.8882,63.8765,-12.8034
SM,SM_25705,24.6639,17.185,69.7213,-11.6794
SM,SM_26713,26.7914,17.3469,74.8355,-11.6023
SM,SM_25986,32.6576,19.0672,100.0758,-13.0884
SM,SM_19982,28.2818,17.0908,83.2798,-12.549
SM,SM_25743,25.3524,17.1007,73.0839,-12.887
SM,SM_25893,41.9478,18.8966,120.7488,-11.0742
SM,SM_15316,43.4876,17.1945,132.7419,-12.3608
SM,SM_15316_2,44.56,17.1791,134.0651,-12.2466
SM,SM_21180,42.9242,18.1675,138.6375,-13.853
SM,SM_15274,46.8973,17.5144,129.5929,-11.4084
SM,SM_25712,47.9208,17.1176,132.0061,-12.7521
SM,SM_16056,44.1685,16.9248,130.7337,-13.5745
SM,SM_25706,46.63,18.958,128.8206,-14.1653
SM,SM_16043,41.4759,17.5863,117.6467,-11.7217
SM,SM_15209,42.9213,18.3053,123.9942,-11.807
SM,SM_15210,45.8797,17.1887,131.6636,-10.8364
SM,SM_26706,46.1818,19.0199,127.3581,-11.0741
SM,SM_25714,47.2322,18.3784,131.5151,-12.7949
SM,SM_25714_2,45.773,18.5089,128.0223,-12.8491
SM,SM_25702,43.4513,19.5393,133.173,-14.3053
SM,SM_16100,45.3065,19.1122,132.165,-13.9925
SM,SM_16096,69.5333,17.5096,201.3859,-13.6958
SM,SM_25742,40.9317,18.7861,119.4582,-13.2305
SM,SM_25711,51.4474,16.933,141.8842,-12.5467
SM,SM_25892,48.1672,18.5754,133.3175,-12.7032
SM,SM_25701,47.0659,17.2099,130.4056,-12.1046
SM,SM_21182,45.889,18.6728,129.4314,-11.7437
SM,SM_16655,48.4428,17.1597,135.4781,-12.8097
SM,SM_20085,45.74,18.802,126.2551,-11.4019
SM,SM_20085_2,45.5612,18.7497,126.3241,-11.4842
SM,SM_16062,40.9513,17.5725,118.0101,-13.1759
SM,SM_25744,36.8855,17.905,103.0373,-12.9062
SM,SM_25895,46.793,18.2419,131.76,-12.9734
SM,SM_20087,43.8094,17.5347,128.5901,-12.1974
SM,SM_16095,9.9365,17.1952,30.1034,-15.0031
SM,SM_15204,12.5391,18.4696,42.5145,-12.4283
SM,SM_25894,45.8444,18.0628,126.7408,-12.672
SM,SM_16097,33.9214,19.1099,95.7261,-11.4618
SM,SM_25740,13.7626,18.7539,40.6014,-13.9958
SM,SM_25740_2,14.0306,18.9322,42.1955,-13.9357
SM,SM_27370,46.8269,18.3517,132.57,-11.2825
SM,SM_25696,46.9149,18.1578,131.8381,-12.4578
SM,SM_25696_2,26.9021,17.8616,74.3563,-12.094
SM,SM_16044,16.0159,18.2331,46.7627,-10.3312
