Common Population Name,NMFS_POPID,ESU,Species,Start Year,Year,Spawners
Kalama River,11,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1973,6199
Kalama River,11,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1972,3222
Kalama River,11,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1971,3102
Kalama River,11,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1970,2738
Kalama River,11,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1969,2191
Kalama River,11,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1968,2806
Kalama River,11,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1967,3305
Kalama River,11,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1966,2684
Kalama River,11,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1965,5509
Kalama River,11,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1964,4695
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2014,942
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2013,1540
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2012,566
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2011,870
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2010,426
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2009,596
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2008,379
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2007,237
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2006,427
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2005,598
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2004,886
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2003,714
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2002,1296
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2001,526
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2000,304
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1999,217
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1998,104
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1997,307
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1996,334
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1995,200
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1994,395
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1993,156
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1992,202
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1991,230
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1990,342
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1989,591
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1988,427
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1987,135
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1986,389
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1985,540
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1984,192
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1983,305
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1982,240
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1981,397
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1980,311
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1979,716
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1978,687
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1977,568
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1976,325
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1975,581
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1974,420
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1973,210
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1972,534
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1971,2142
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1970,657
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1969,329
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1968,249
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1967,411
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1966,583
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1965,891
Lewis River,14,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,1964,632
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2013,15197
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2012,8143
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2011,8205
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2010,9294
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2009,6283
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2008,5485
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2007,3708
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2006,5066
Lewis River,13,"Salmon, Chinook (Lower Columbia River ESU)", ,1964,2005,9775
