"","X","Sample.ID","NLE.mean","ALA.mean","VAL.mean","ILE.mean","ASP.mean","PHE.mean","GLU.mean","TYR.mean","THR.mean","SER.mean","PRO.mean","GLY.mean","years","Location.2","Length","Sex","Lat","Long","State","Museum","N.quantity..ug.","d15N","C.quantity..ug.","d13C","Year","d13C.s","TP.GLU","TP.ALA","TP.ASP","TP.VAL","TP.PRO","TPmean"
"26",26,"BM_80777",12.89827148,22.29341724,24.05227978,NA,24.28376389,11.43165893,28.14413316,NA,-24.2956701,15.56156787,20.058,8.088888889,2007,"Coastal",NA,"M",46.81,-124.0933,"WA","UWBM",44.6502,17.2891,128.5232,-13.1147,2008,-14.1120056868277,4.60691403347107,6.30041588693181,4.81505408237705,2.77945056724138,3.43160522539267,4.3866879590828
"27",27,"BM_80778",12.9354642,22.32636655,20.46448683,NA,24.24618199,10.78815292,29.57097451,NA,-10.96455241,15.08822251,22.30833333,7.725333333,2008,"Coastal",NA,"F",46.9734,-124.1559,"WA","UWBM",48.3294,16.2282,131.0459,-12.8056,2009,-13.8301997521597,5.20577484008265,7.12384949602272,5.40900619385246,3.05708335498084,3.81098824947644,4.92134042688302
"28",28,"BM_80780",13.84179146,23.16074441,22.51208607,NA,24.1978369,17.5675,27.0094912,NA,-22.57329167,16.57466667,29.29633333,7.831666667,2006,"Inland",NA,"F",47.3486,-122.3244,"WA","UWBM",40.9994,17.2182,115.2334,-11.1575,2007,-12.1282387015099,2.50388175206612,3.4087465,2.7292597704918,1.80448157854406,2.0993177591623,2.50913747205286
"29",29,"BM_80782",12.86621671,21.97383333,19.47616667,NA,21.714375,10.74410739,28.85783333,NA,-9.285160223,15.871,24.71133333,11.056,2007,"Inland",NA,"M",47.8103,-122.377,"WA","UWBM",46.3147,17.1076,126.3137,-11.9114,2008,-12.9087056868277,5.01223477603306,6.85773190795454,5.21705252377049,2.96735788467433,3.68837909895288,4.74855123827706
"30",30,"BM_81078",13.66910567,20.46467612,19.95070017,NA,23.2397805,10.25948625,24.65756486,NA,-24.73858033,20.43976503,18.77566667,8.845,2008,"Inland",NA,"",48.0946,-122.9153,"WA",NA,NA,NA,NA,NA,2009,NA,3.93746075495868,5.37991762897727,4.15108812581967,2.469091001341,3.00750131596859,3.78901176541304
"31",31,"BM_81979",9.430580756,21.99982904,17.15345447,NA,25.24008462,13.84189261,26.39897809,NA,-20.04721349,21.74518256,21.955,16.264,2011,"Inland",154,"M",47.5972,-122.3486,"WA",NA,NA,NA,NA,NA,2012,NA,3.40494208099174,4.64770445227273,3.62293435901639,2.22221452796935,2.6701465539267,3.31358839483538
"32",32,"BM_82369",14.49369137,21.65282216,20.35101289,NA,22.17583033,13.15763832,26.21867354,NA,-15.38126503,16.50566667,28.93633333,8.938666667,2014,"SE",135,"F",59.9326,-139.5983,"AK",NA,NA,NA,NA,NA,2015,NA,3.55071266694215,4.84813900795454,3.76751010409836,2.28979399501916,2.76249336492147,3.44372982778714
"33",33,"BM_82370",17.31790775,23.03139884,22.30477599,NA,19.56792472,9.226383591,26.20408033,NA,-32.39414648,16.93574076,27.81566667,12.0655,2014,"SE",111,"F",59.5278,-139.7673,"AK",NA,NA,NA,NA,NA,2015,NA,4.6836312881405,6.40590211210227,4.89114250709016,2.81501680408046,3.48020620871728,4.45517978402613
"34",34,"BM_82371",20.33305956,22.23810982,23.83171148,NA,21.59402577,8.391690292,27.61451103,NA,-27.78653823,21.08227463,29.61066667,11.679,2014,"SE",118,"F",59.9385,-139.6076,"AK",NA,NA,NA,NA,NA,2015,NA,5.33304732090909,7.29884915715909,5.53523545762295,3.11608707214559,3.89161636560209,5.03496707468776
"35",35,"BM_82372",NA,20.96539681,23.83214979,NA,20.49127508,7.970988813,24.50919924,NA,-29.07846825,15.88022222,28.99311111,6.927,2014,"SE",122,"F",59.9342,-139.6176,"AK",NA,NA,NA,NA,NA,2015,NA,4.55650714830579,6.23110641982954,4.76506036840164,2.75608185802682,3.39967206777487,4.34168557246773
