Year,Month,Discharge
1931,7,193800
1931,8,126700
1931,9,99460
1931,10,70670
1931,11,65970
1931,12,59350
1932,1,64810
1932,2,59490
1932,3,158700
1932,4,236700
1932,5,441900
1932,6,479900
1932,7,308000
1932,8,164900
1932,9,112700
1932,10,78760
1932,11,93190
1932,12,94990
1933,1,90490
1933,2,70230
1933,3,94660
1933,4,152400
1933,5,310800
1933,6,619600
1933,7,422600
1933,8,211600
1933,9,130800
1933,10,103200
1933,11,146400
1933,12,191300
1934,1,214900
1934,2,156200
1934,3,156100
1934,4,295900
1934,5,422900
1934,6,379900
1934,7,216900
1934,8,148300
1934,9,102900
1934,10,74480
1934,11,97960
1934,12,93170
1935,1,85800
1935,2,105800
1935,3,97650
1935,4,143600
1935,5,289100
1935,6,440000
1935,7,312300
1935,8,188000
1935,9,112200
1935,10,77080
1935,11,64870
1935,12,56830
1936,1,63550
1936,2,55890
1936,3,91100
1936,4,201300
1936,5,431400
1936,6,414600
1936,7,212900
1936,8,137500
1936,9,97870
1936,10,70130
1936,11,57830
1936,12,52380
1937,1,42430
1937,2,51420
1937,3,69820
1937,4,117600
1937,5,244000
1937,6,348900
1937,7,246200
1937,8,142300
1937,9,97670
1937,10,72820
1937,11,92810
1937,12,99040
1938,1,96310
1938,2,87090
1938,3,134900
1938,4,228600
1938,5,395300
1938,6,513600
1938,7,312200
1938,8,140900
1938,9,103900
1938,10,92160
1938,11,75480
1938,12,68990
1939,1,68170
1939,2,66510
1939,3,107300
1939,4,184000
1939,5,347100
1939,6,305700
1939,7,233400
1939,8,143100
1939,9,98810
1939,10,76900
1939,11,86070
1939,12,81520
1940,1,73330
1940,2,88910
1940,3,133400
1940,4,209500
1940,5,272400
1940,6,317400
1940,7,206600
1940,8,127400
1940,9,108200
1940,10,92770
1940,11,95090
1940,12,81590
1941,1,80770
1941,2,82760
1941,3,105800
1941,4,148300
1941,5,238500
1941,6,245400
1941,7,141500
1941,8,123000
1941,9,123100
1941,10,121400
1941,11,123600
1941,12,164500
1942,1,111700
1942,2,112900
1942,3,103600
1942,4,197900
1942,5,268100
1942,6,388200
1942,7,282100
1942,8,161100
1942,9,104900
1942,10,82970
1942,11,87710
1942,12,102200
1943,1,109400
1943,2,117100
1943,3,124500
1943,4,334900
1943,5,355200
1943,6,487800
1943,7,396000
1943,8,185700
1943,9,101200
1943,10,88220
1943,11,88650
1943,12,76980
1944,1,77850
1944,2,76020
1944,3,79980
1944,4,98350
1944,5,174200
1944,6,290000
1944,7,169500
1944,8,123400
1944,9,92260
1944,10,87390
1944,11,81760
1944,12,73040
1945,1,81770
1945,2,90650
1945,3,89650
1945,4,115700
1945,5,290800
1945,6,426100
1945,7,247500
1945,8,128600
1945,9,94650
1945,10,76160
1945,11,86770
1945,12,89820
1946,1,109000
1946,2,87710
1946,3,139100
1946,4,237200
1946,5,456800
1946,6,495400
1946,7,296700
1946,8,157500
1946,9,115400
1946,10,93330
1946,11,92100
1946,12,144900
1947,1,102100
1947,2,124100
1947,3,137100
1947,4,192400
1947,5,455100
1947,6,454900
1947,7,269700
1947,8,151200
1947,9,102500
1947,10,126000
1947,11,131700
1947,12,112600
1948,1,121900
1948,2,115500
1948,3,109100
1948,4,175900
1948,5,476100
1948,6,835700
1948,7,318900
1948,8,180600
1948,9,124400
1948,10,99800
1948,11,90130
1948,12,88310
1949,1,82670
1949,2,112400
1949,3,151200
1949,4,223700
1949,5,487800
1949,6,408600
1949,7,191600
1949,8,127200
1949,9,94860
1949,10,86490
1949,11,87430
1949,12,99730
1950,1,97810
1950,2,128000
1950,3,161000
1950,4,214800
1950,5,334000
1950,6,592900
1950,7,487200
1950,8,192000
1950,9,120500
1950,10,109100
1950,11,134300
1950,12,142300
1951,1,154700
1951,2,195300
1951,3,166300
1951,4,253100
1951,5,468400
1951,6,458400
1951,7,344800
1951,8,179400
1951,9,109700
1951,10,121800
1951,11,111700
1951,12,115500
1952,1,119200
1952,2,131200
1952,3,148400
1952,4,254800
1952,5,464200
1952,6,406200
1952,7,265100
1952,8,142100
1952,9,96000
1952,10,86000
1952,11,84850
1952,12,80770
1953,1,112200
1953,2,139800
1953,3,137600
1953,4,155800
1953,5,251900
1953,6,509900
1953,7,320100
1953,8,155500
1953,9,118800
1953,10,100900
1953,11,102300
1953,12,103900
1954,1,112400
1954,2,124700
1954,3,131800
1954,4,159100
1954,5,376600
1954,6,502800
1954,7,421400
1954,8,215400
1954,9,151900
1954,10,109600
1954,11,112800
1954,12,103200
1955,1,102200
1955,2,108400
1955,3,118600
1955,4,142500
1955,5,200600
1955,6,448100
1955,7,403400
1955,8,181300
1955,9,113500
1955,10,103300
1955,11,124800
1955,12,152900
1956,1,153900
1956,2,129200
1956,3,167800
1956,4,340000
1956,5,530000
1956,6,639100
1956,7,306000
1956,8,158700
1956,9,115400
1956,10,109400
1956,11,109400
1956,12,113000
1957,1,112600
1957,2,120300
1957,3,149500
1957,4,188900
1957,5,517700
1957,6,479400
1957,7,203300
1957,8,125900
1957,9,96230
1957,10,99550
1957,11,95330
1957,12,96650
1958,1,99970
1958,2,148900
1958,3,152100
1958,4,210200
1958,5,395500
1958,6,453400
1958,7,201200
1958,8,120600
1958,9,96530
1958,10,99280
1958,11,109900
1958,12,128800
1959,1,146700
1959,2,144700
1959,3,159400
1959,4,209300
1959,5,349000
1959,6,511500
1959,7,359400
1959,8,166300
1959,9,152700
1959,10,174800
1959,11,162700
1959,12,143000
1960,1,117400
1960,2,125200
1960,3,132500
1960,4,261400
1960,5,299300
1960,6,386200
1960,7,287500
1960,8,151400
1960,9,102500
1960,10,96570
1960,11,105500
1960,12,94850
1961,1,100900
1961,2,165400
1961,3,163100
1961,4,174000
1961,5,335300
1961,6,591100
1961,7,229600
1961,8,123200
1961,9,93310
1961,10,92730
1961,11,91920
1961,12,89230
1962,1,109200
1962,2,128300
1962,3,112300
1962,4,215900
1962,5,305200
1962,6,395300
1962,7,238100
1962,8,156300
1962,9,97440
