time,Month,Year,MEI
3/1/69 0:00,3,1969,0.458
4/1/69 0:00,4,1969,0.622
5/1/69 0:00,5,1969,0.674
6/1/69 0:00,6,1969,0.801
7/1/69 0:00,7,1969,0.49
8/1/69 0:00,8,1969,0.212
9/1/69 0:00,9,1969,0.162
10/1/69 0:00,10,1969,0.496
11/1/69 0:00,11,1969,0.659
12/1/69 0:00,12,1969,0.417
1/1/70 0:00,1,1970,0.38
2/1/70 0:00,2,1970,0.432
3/1/70 0:00,3,1970,0.228
4/1/70 0:00,4,1970,0.014
5/1/70 0:00,5,1970,-0.099
6/1/70 0:00,6,1970,-0.636
7/1/70 0:00,7,1970,-1.055
8/1/70 0:00,8,1970,-1.007
9/1/70 0:00,9,1970,-1.251
10/1/70 0:00,10,1970,-1.088
11/1/70 0:00,11,1970,-1.074
12/1/70 0:00,12,1970,-1.203
1/1/71 0:00,1,1971,-1.204
2/1/71 0:00,2,1971,-1.507
3/1/71 0:00,3,1971,-1.79
4/1/71 0:00,4,1971,-1.839
5/1/71 0:00,5,1971,-1.429
6/1/71 0:00,6,1971,-1.42
7/1/71 0:00,7,1971,-1.207
8/1/71 0:00,8,1971,-1.213
9/1/71 0:00,9,1971,-1.467
10/1/71 0:00,10,1971,-1.415
11/1/71 0:00,11,1971,-1.311
12/1/71 0:00,12,1971,-0.969
1/1/72 0:00,1,1972,-0.575
2/1/72 0:00,2,1972,-0.398
3/1/72 0:00,3,1972,-0.256
4/1/72 0:00,4,1972,-0.166
5/1/72 0:00,5,1972,0.423
6/1/72 0:00,6,1972,0.966
7/1/72 0:00,7,1972,1.826
8/1/72 0:00,8,1972,1.8
9/1/72 0:00,9,1972,1.522
10/1/72 0:00,10,1972,1.617
11/1/72 0:00,11,1972,1.704
12/1/72 0:00,12,1972,1.787
1/1/73 0:00,1,1973,1.723
2/1/73 0:00,2,1973,1.515
3/1/73 0:00,3,1973,0.87
4/1/73 0:00,4,1973,0.491
5/1/73 0:00,5,1973,-0.099
6/1/73 0:00,6,1973,-0.758
7/1/73 0:00,7,1973,-1.056
8/1/73 0:00,8,1973,-1.334
9/1/73 0:00,9,1973,-1.734
10/1/73 0:00,10,1973,-1.66
11/1/73 0:00,11,1973,-1.489
12/1/73 0:00,12,1973,-1.826
1/1/74 0:00,1,1974,-1.912
2/1/74 0:00,2,1974,-1.768
3/1/74 0:00,3,1974,-1.743
4/1/74 0:00,4,1974,-1.62
5/1/74 0:00,5,1974,-1.048
6/1/74 0:00,6,1974,-0.694
7/1/74 0:00,7,1974,-0.75
8/1/74 0:00,8,1974,-0.664
9/1/74 0:00,9,1974,-0.628
10/1/74 0:00,10,1974,-1.05
11/1/74 0:00,11,1974,-1.24
12/1/74 0:00,12,1974,-0.886
1/1/75 0:00,1,1975,-0.522
2/1/75 0:00,2,1975,-0.576
3/1/75 0:00,3,1975,-0.85
4/1/75 0:00,4,1975,-0.927
5/1/75 0:00,5,1975,-0.838
6/1/75 0:00,6,1975,-1.148
7/1/75 0:00,7,1975,-1.497
8/1/75 0:00,8,1975,-1.712
9/1/75 0:00,9,1975,-1.876
10/1/75 0:00,10,1975,-1.978
11/1/75 0:00,11,1975,-1.756
12/1/75 0:00,12,1975,-1.732
1/1/76 0:00,1,1976,-1.587
2/1/76 0:00,2,1976,-1.366
3/1/76 0:00,3,1976,-1.213
4/1/76 0:00,4,1976,-1.157
5/1/76 0:00,5,1976,-0.483
6/1/76 0:00,6,1976,0.276
7/1/76 0:00,7,1976,0.633
8/1/76 0:00,8,1976,0.654
9/1/76 0:00,9,1976,1.018
10/1/76 0:00,10,1976,0.927
11/1/76 0:00,11,1976,0.49
12/1/76 0:00,12,1976,0.565
1/1/77 0:00,1,1977,0.529
2/1/77 0:00,2,1977,0.29
3/1/77 0:00,3,1977,0.145
4/1/77 0:00,4,1977,0.552
5/1/77 0:00,5,1977,0.31
6/1/77 0:00,6,1977,0.414
7/1/77 0:00,7,1977,0.888
8/1/77 0:00,8,1977,0.684
9/1/77 0:00,9,1977,0.783
10/1/77 0:00,10,1977,0.97
11/1/77 0:00,11,1977,0.962
12/1/77 0:00,12,1977,0.877
1/1/78 0:00,1,1978,0.777
2/1/78 0:00,2,1978,0.912
3/1/78 0:00,3,1978,0.935
4/1/78 0:00,4,1978,0.199
5/1/78 0:00,5,1978,-0.378
6/1/78 0:00,6,1978,-0.605
7/1/78 0:00,7,1978,-0.42
8/1/78 0:00,8,1978,-0.199
9/1/78 0:00,9,1978,-0.391
10/1/78 0:00,10,1978,-0.028
11/1/78 0:00,11,1978,0.175
12/1/78 0:00,12,1978,0.406
1/1/79 0:00,1,1979,0.608
2/1/79 0:00,2,1979,0.379
3/1/79 0:00,3,1979,0.002
4/1/79 0:00,4,1979,0.301
5/1/79 0:00,5,1979,0.374
6/1/79 0:00,6,1979,0.429
7/1/79 0:00,7,1979,0.396
8/1/79 0:00,8,1979,0.615
9/1/79 0:00,9,1979,0.759
10/1/79 0:00,10,1979,0.655
11/1/79 0:00,11,1979,0.734
12/1/79 0:00,12,1979,1.004
1/1/80 0:00,1,1980,0.677
2/1/80 0:00,2,1980,0.601
3/1/80 0:00,3,1980,0.684
4/1/80 0:00,4,1980,0.912
5/1/80 0:00,5,1980,0.958
6/1/80 0:00,6,1980,0.911
7/1/80 0:00,7,1980,0.769
8/1/80 0:00,8,1980,0.329
9/1/80 0:00,9,1980,0.263
10/1/80 0:00,10,1980,0.192
11/1/80 0:00,11,1980,0.248
12/1/80 0:00,12,1980,0.111
1/1/81 0:00,1,1981,-0.25
2/1/81 0:00,2,1981,-0.14
3/1/81 0:00,3,1981,0.455
4/1/81 0:00,4,1981,0.669
5/1/81 0:00,5,1981,0.189
6/1/81 0:00,6,1981,-0.024
7/1/81 0:00,7,1981,-0.026
8/1/81 0:00,8,1981,-0.09
9/1/81 0:00,9,1981,0.174
10/1/81 0:00,10,1981,0.101
11/1/81 0:00,11,1981,-0.039
12/1/81 0:00,12,1981,-0.126
1/1/82 0:00,1,1982,-0.258
2/1/82 0:00,2,1982,-0.125
3/1/82 0:00,3,1982,0.1
4/1/82 0:00,4,1982,0.008
5/1/82 0:00,5,1982,0.443
6/1/82 0:00,6,1982,0.93
7/1/82 0:00,7,1982,1.612
8/1/82 0:00,8,1982,1.778
9/1/82 0:00,9,1982,1.783
10/1/82 0:00,10,1982,2.001
11/1/82 0:00,11,1982,2.394
12/1/82 0:00,12,1982,2.425
1/1/83 0:00,1,1983,2.677
2/1/83 0:00,2,1983,2.931
3/1/83 0:00,3,1983,3.008
4/1/83 0:00,4,1983,2.812
5/1/83 0:00,5,1983,2.498
6/1/83 0:00,6,1983,2.235
7/1/83 0:00,7,1983,1.793
8/1/83 0:00,8,1983,1.159
9/1/83 0:00,9,1983,0.459
10/1/83 0:00,10,1983,0.024
11/1/83 0:00,11,1983,-0.132
12/1/83 0:00,12,1983,-0.17
1/1/84 0:00,1,1984,-0.314
2/1/84 0:00,2,1984,-0.509
3/1/84 0:00,3,1984,0.151
4/1/84 0:00,4,1984,0.39
5/1/84 0:00,5,1984,0.18
6/1/84 0:00,6,1984,-0.049
7/1/84 0:00,7,1984,-0.054
8/1/84 0:00,8,1984,-0.155
9/1/84 0:00,9,1984,-0.12
10/1/84 0:00,10,1984,-0.006
11/1/84 0:00,11,1984,-0.35
12/1/84 0:00,12,1984,-0.585
1/1/85 0:00,1,1985,-0.546
2/1/85 0:00,2,1985,-0.576
3/1/85 0:00,3,1985,-0.696
4/1/85 0:00,4,1985,-0.468
5/1/85 0:00,5,1985,-0.706
6/1/85 0:00,6,1985,-0.166
7/1/85 0:00,7,1985,-0.126
8/1/85 0:00,8,1985,-0.365
9/1/85 0:00,9,1985,-0.535
10/1/85 0:00,10,1985,-0.148
11/1/85 0:00,11,1985,-0.06
12/1/85 0:00,12,1985,-0.279
1/1/86 0:00,1,1986,-0.293
2/1/86 0:00,2,1986,-0.183
3/1/86 0:00,3,1986,0.028
4/1/86 0:00,4,1986,-0.107
5/1/86 0:00,5,1986,0.353
6/1/86 0:00,6,1986,0.279
7/1/86 0:00,7,1986,0.401
8/1/86 0:00,8,1986,0.765
9/1/86 0:00,9,1986,1.077
10/1/86 0:00,10,1986,0.96
11/1/86 0:00,11,1986,0.865
12/1/86 0:00,12,1986,1.202
1/1/87 0:00,1,1987,1.249
2/1/87 0:00,2,1987,1.218
3/1/87 0:00,3,1987,1.716
4/1/87 0:00,4,1987,1.855
5/1/87 0:00,5,1987,2.107
6/1/87 0:00,6,1987,1.958
7/1/87 0:00,7,1987,1.878
8/1/87 0:00,8,1987,1.973
9/1/87 0:00,9,1987,1.851
10/1/87 0:00,10,1987,1.617
11/1/87 0:00,11,1987,1.257
12/1/87 0:00,12,1987,1.293
1/1/88 0:00,1,1988,1.115
2/1/88 0:00,2,1988,0.716
3/1/88 0:00,3,1988,0.495
4/1/88 0:00,4,1988,0.389
5/1/88 0:00,5,1988,0.193
6/1/88 0:00,6,1988,-0.582
7/1/88 0:00,7,1988,-1.109
8/1/88 0:00,8,1988,-1.295
9/1/88 0:00,9,1988,-1.526
10/1/88 0:00,10,1988,-1.328
11/1/88 0:00,11,1988,-1.453
12/1/88 0:00,12,1988,-1.311
1/1/89 0:00,1,1989,-1.103
