UTC,Year,Month,DAY,degrees_north,degrees_east,Upwelling Index,Upwelling Index Anomaly
10/15/65 0:00,1965,10,15,45,235,-33,-13
11/15/65 0:00,1965,11,15,45,235,-122,-48
12/15/65 0:00,1965,12,15,45,235,-60,33
1/15/66 0:00,1966,1,15,45,235,-106,-12
2/15/66 0:00,1966,2,15,45,235,-27,20
3/15/66 0:00,1966,3,15,45,235,-50,-35
4/15/66 0:00,1966,4,15,45,235,43,34
5/15/66 0:00,1966,5,15,45,235,101,67
6/15/66 0:00,1966,6,15,45,235,20,-28
7/15/66 0:00,1966,7,15,45,235,80,6
8/15/66 0:00,1966,8,15,45,235,110,60
9/15/66 0:00,1966,9,15,45,235,6,-10
10/15/66 0:00,1966,10,15,45,235,-1,19
11/15/66 0:00,1966,11,15,45,235,-43,31
12/15/66 0:00,1966,12,15,45,235,-159,-66
1/15/67 0:00,1967,1,15,45,235,-96,-2
2/15/67 0:00,1967,2,15,45,235,-9,38
3/15/67 0:00,1967,3,15,45,235,-15,0
4/15/67 0:00,1967,4,15,45,235,11,2
5/15/67 0:00,1967,5,15,45,235,88,54
6/15/67 0:00,1967,6,15,45,235,135,87
7/15/67 0:00,1967,7,15,45,235,134,60
8/15/67 0:00,1967,8,15,45,235,93,43
9/15/67 0:00,1967,9,15,45,235,15,-1
10/15/67 0:00,1967,10,15,45,235,-74,-54
11/15/67 0:00,1967,11,15,45,235,-14,60
12/15/67 0:00,1967,12,15,45,235,-37,56
1/15/68 0:00,1968,1,15,45,235,-102,-8
2/15/68 0:00,1968,2,15,45,235,-146,-99
3/15/68 0:00,1968,3,15,45,235,-47,-32
4/15/68 0:00,1968,4,15,45,235,47,38
5/15/68 0:00,1968,5,15,45,235,33,-1
6/15/68 0:00,1968,6,15,45,235,59,11
7/15/68 0:00,1968,7,15,45,235,104,30
8/15/68 0:00,1968,8,15,45,235,21,-29
9/15/68 0:00,1968,9,15,45,235,18,2
10/15/68 0:00,1968,10,15,45,235,-39,-19
11/15/68 0:00,1968,11,15,45,235,-121,-47
12/15/68 0:00,1968,12,15,45,235,-95,-2
1/15/69 0:00,1969,1,15,45,235,-45,49
2/15/69 0:00,1969,2,15,45,235,-93,-46
3/15/69 0:00,1969,3,15,45,235,-2,13
4/15/69 0:00,1969,4,15,45,235,-21,-30
5/15/69 0:00,1969,5,15,45,235,13,-21
6/15/69 0:00,1969,6,15,45,235,61,13
7/15/69 0:00,1969,7,15,45,235,106,32
8/15/69 0:00,1969,8,15,45,235,46,-4
9/15/69 0:00,1969,9,15,45,235,6,-10
10/15/69 0:00,1969,10,15,45,235,-14,6
11/15/69 0:00,1969,11,15,45,235,-53,21
12/15/69 0:00,1969,12,15,45,235,-157,-64
1/15/70 0:00,1970,1,15,45,235,-98,-4
2/15/70 0:00,1970,2,15,45,235,-71,-24
3/15/70 0:00,1970,3,15,45,235,1,16
4/15/70 0:00,1970,4,15,45,235,25,16
5/15/70 0:00,1970,5,15,45,235,33,-1
6/15/70 0:00,1970,6,15,45,235,46,-2
7/15/70 0:00,1970,7,15,45,235,71,-3
8/15/70 0:00,1970,8,15,45,235,73,23
9/15/70 0:00,1970,9,15,45,235,11,-5
10/15/70 0:00,1970,10,15,45,235,-7,13
11/15/70 0:00,1970,11,15,45,235,-54,20
12/15/70 0:00,1970,12,15,45,235,-106,-13
1/15/71 0:00,1971,1,15,45,235,-32,62
2/15/71 0:00,1971,2,15,45,235,-16,31
3/15/71 0:00,1971,3,15,45,235,-49,-34
4/15/71 0:00,1971,4,15,45,235,-2,-11
5/15/71 0:00,1971,5,15,45,235,66,32
6/15/71 0:00,1971,6,15,45,235,13,-35
7/15/71 0:00,1971,7,15,45,235,65,-9
8/15/71 0:00,1971,8,15,45,235,24,-26
9/15/71 0:00,1971,9,15,45,235,8,-8
10/15/71 0:00,1971,10,15,45,235,1,21
11/15/71 0:00,1971,11,15,45,235,-40,34
12/15/71 0:00,1971,12,15,45,235,-27,66
1/15/72 0:00,1972,1,15,45,235,-19,75
2/15/72 0:00,1972,2,15,45,235,-103,-56
3/15/72 0:00,1972,3,15,45,235,-25,-10
4/15/72 0:00,1972,4,15,45,235,-1,-10
5/15/72 0:00,1972,5,15,45,235,34,0
6/15/72 0:00,1972,6,15,45,235,55,7
7/15/72 0:00,1972,7,15,45,235,52,-22
8/15/72 0:00,1972,8,15,45,235,56,6
9/15/72 0:00,1972,9,15,45,235,19,3
10/15/72 0:00,1972,10,15,45,235,34,54
11/15/72 0:00,1972,11,15,45,235,-64,10
12/15/72 0:00,1972,12,15,45,235,-68,25
1/15/73 0:00,1973,1,15,45,235,-111,-17
2/15/73 0:00,1973,2,15,45,235,-43,4
3/15/73 0:00,1973,3,15,45,235,-1,14
4/15/73 0:00,1973,4,15,45,235,43,34
5/15/73 0:00,1973,5,15,45,235,25,-9
6/15/73 0:00,1973,6,15,45,235,27,-21
7/15/73 0:00,1973,7,15,45,235,76,2
8/15/73 0:00,1973,8,15,45,235,103,53
9/15/73 0:00,1973,9,15,45,235,3,-13
10/15/73 0:00,1973,10,15,45,235,-3,17
11/15/73 0:00,1973,11,15,45,235,-46,28
12/15/73 0:00,1973,12,15,45,235,-129,-36
1/15/74 0:00,1974,1,15,45,235,-36,58
2/15/74 0:00,1974,2,15,45,235,-51,-4
3/15/74 0:00,1974,3,15,45,235,-37,-22
4/15/74 0:00,1974,4,15,45,235,2,-7
5/15/74 0:00,1974,5,15,45,235,26,-8
6/15/74 0:00,1974,6,15,45,235,80,32
7/15/74 0:00,1974,7,15,45,235,36,-38
8/15/74 0:00,1974,8,15,45,235,72,22
9/15/74 0:00,1974,9,15,45,235,16,0
10/15/74 0:00,1974,10,15,45,235,6,26
11/15/74 0:00,1974,11,15,45,235,-46,28
12/15/74 0:00,1974,12,15,45,235,-75,18
1/15/75 0:00,1975,1,15,45,235,-33,61
2/15/75 0:00,1975,2,15,45,235,-77,-30
