Year,1,2,3,4,5,6,7,8,9,10,11,12
1996,10419.766,2052.3267,4944.2932,17758.615,14320.031,16202.158,25773.58,23889.939,43695.917,46582.611,30592.322,15768.799
1997,9544.1706,10507.03,17323.267,21896.658,20415.447,14043.808,20807.528,36781.029,44523.002,40473.136,46413.279,24429.771
1998,43355.26,11492.018,15950.751,27531.626,22617.603,16128.546,16792.231,25354.575,41121.51,32582.727,35596.861,10215.683
1999,9300.2319,2867.9778,2654.3738,12369.993,25070.678,30047.617,23945.759,31372.692,54708.34,58979.568,44552.232,35247.717
2000,31095.254,7958.4699,11889.392,30337.647,21397.367,18286.806,20044.625,27020.552,35262.606,45062.35,40209.126,36001.368
2001,37189.822,33745.17,14095.757,13026.692,14643.49,18313.157,15875.21,23019.082,27764.32,38284.069,27695.232,17502.534
2002,10125.158,8907.6114,10833.596,2629.1613,7244.0254,24128.25,24827.675,33107.035,54211.804,57832.301,52738.25,26751.598
2003,24859.154,29420.546,10445.864,15902.81,12263.888,19608.768,17311.764,24613.612,23963.8,45422.904,20937.952,17714.31
2004,24551.823,17219.436,9405.1759,23027.64,19422.263,14889.586,17609.177,20980.983,31089.396,45460.253,42736.457,32023.272
2005,26093.902,8352.6913,8368.6579,16797.318,20117.457,14301.303,21464.879,33733.825,44627.668,45097.222,33243.452,46898.408
2006,19988.495,8201.4634,1448.1852,4628.3872,14557.481,23179.852,24070.887,35843.97,42879.882,58003.345,28104.48,6858.9181
2007,16957.527,10178.016,1257.352,7379.3365,19375.806,23028.936,22305.272,37601.354,40992.262,53694.162,61754.065,20087.028
2008,6590.671,2756.1439,2912.0183,12925.767,27428.075,23881.049,27787.366,36811.42,56528.27,47022.698,47819.454,22934.36
2009,7601.7792,2635.8779,1721.4837,3940.4009,9924.7336,18044.524,29627.071,33712.191,51998.831,56627.336,31557.067,27647.682
2010,5482.8961,18231.008,14919.526,30418.936,16623.002,14934.705,28796.92,25298.142,26490.061,41950.426,43286.804,26121.734
2011,5046.3544,2467.8501,1909.0483,5655.6958,11704.893,16718.951,17355.542,36123.038,62836.725,62507.102,32864.521,12026.045
