Sample ID,,Sex,Year,County,Location 2,Lat,Long,Length,Weight,Age,Date,Month
NM_2233,1,M,2013,Pierce County,Inland,47.378484,-122.625431,,,,7/3/13,7
NM_2234,1,F,2013,King County,Inland,47.579966,-122.409659,,,,7/15/13,7
NM_2235,1,F,2013,Kitsap County,Inland,47.720204,-122.79073,,,,7/26/13,7
NM_2236,1,,2014,Pierce County,Inland,47.2179,-122.6599,,,,6/1/14,6
RM_12843,1,,1981,Salish Sea,Inland,48.666119,-123.407784,,,,10/10/81,10
RM_12965,1,,1984,Salish Sea,Inland,48.419672,-123.397284,,,,9/7/84,9
SI_274151,1,M,1942,Thurston County,Inland,47.095908,-122.686415,,,,7/1/82,7
SI_276060,1,M,1942,King County,Inland,47.669705,-122.417511,,,,7/8/82,7
SM_15182,1,M,1970,Pierce,Inland,47.228131,-122.677532,,,20,11/24/70,11
SM_15313,1,F,1963,Pierce,Inland,,,,,,12/18/63,12
SM_16055,1,M,1972,Island,Inland,48.319011,-122.83727,129.5,40.8,5,7/17/72,7
SM_16706,1,M,1972,Pierce,Inland,47.216785,-122.660398,,,,1/5/44,1
SM_16095,1,F,1972,Grays Harbor,Coastal,46.929986,-124.168851,67.3,5.4,0,12/20/72,12
SM_20083,1,F,1975,Pierce,Inland,47.216785,-122.660398,,,,9/8/75,9
SM_20086,1,F,1976,Pierce,Inland,47.216785,-122.660398,,,,9/1/75,9
SM_25699,1,M,1977,Grays Harbor,Coastal,47.096914,-124.187536,,,,2/3/77,2
SM_25713,1,F,1977,Grays Harbor,Coastal,47.227824,-124.212433,,,,6/10/77,6
BM_20228,,,1959,Clatsop,Coastal,46.0999,-123.935,,,,8/29/59,8
BM_32053,,M,1977,Island,Inland,48.225,-122.7689,,,,7/1/77,7
BM_34969,,M,1987,Wahkiakum,Coastal,42.2706,-123.4558,104,,,2/18/87,2
BM_34974,,M,1987,Columbia,Coastal,46.1408,-123.2525,123,,,2/19/87,2
BM_34983,,M,1986,Cowlitz,Coastal,46.185552,-123.187834,106,,,2/4/86,2
BM_34988,,M,1987,Wahkiakum,Coastal,46.1583,-123.2531,138,,,1/29/87,1
BM_34989,,F,1987,Cowlitz,Coastal,46.185552,-123.187834,119,,,1/30/87,1
BM_34990,,F,1987,Clatsop,Coastal,46.277934,-123.486647,152,,,2/5/87,2
BM_34991,,M,1987,Cowlitz,Coastal,46.185552,-123.187834,142,,,2/6/87,2
BM_34997,,M,1987,Coulitz,Coastal,46.185552,-123.187834,108,,,2/16/88,2
BM_35001,,F,1988,Wahkiakum,Coastal,46.2706,-123.4558,,,,2/17/88,2
BM_35015,,F,1988,Clatsop,Coastal,46.269852,-123.672793,104,,,3/5/88,3
BM_36047,,M,1989,Clallam,Inland,48.26,-124.68139,122,,,9/19/89,9
BM_51206,,M,1980,Pierce,Inland,47.3192,-122.4253,,,,7/8/80,7
BM_51213,,M,1983,Pierce,Inland,47.2901,-122.6664,109,,,10/15/83,10
BM_80771,,M,2004,Island,Inland,48.1742,-122.5281,,,,1/10/04,1
BM_80772,,F,2007,Skagit,Inland,48.5369,-122.5283,,,,4/21/07,4
BM_80774,,F,1994,Columbia,Coastal,46.2693,-124.0801,,,,2/8/94,2
BM_80776,,F,2006,Kitsap,Inland,47.5958,-122.5058,,,,7/14/06,7
BM_80777,,M,2007,Grays Harbor,Coastal,46.81,-124.0933,,,,8/13/07,8
BM_80778,,F,2008,Grays Harbor,Coastal,46.9734,-124.1559,,,,1/16/08,1
BM_80780,,F,2006,King,Inland,47.3486,-122.3244,,,,7/10/06,7
BM_80782,,M,2007,Snohomish,Inland,47.8103,-122.377,,,,6/8/07,6
BM_82369,,F,2014,Yakutat,SE AK,59.9326,-139.5983,135,,,5/25/14,5
BM_82370,,F,2014,Yakutat,SE AK,59.5278,-139.7673,111,,,5/25/14,5
BM_82371,,F,2014,Yakutat,SE AK,59.9385,-139.6076,118,,,5/25/14,5
BM_82372,,F,2014,Yakutat,SE AK,59.9342,-139.6176,122,,,5/25/14,5
BM_82685,,,2012,Whatcom,Inland,47.097241,-122.705579,99,,,,
RM_10273,,,1979,Salish Sea,Inland,48.737991,-123.430264,,,,11/13/79,11
RM_10834,,,1982,Salish Sea,Inland,49.325751,-122.947681,,,,10/20/82,10
RM_11409,,,1983,Salish Sea,Inland,48.660607,-123.449852,,,,4/14/83,4
RM_11449,,,1982,Salish Sea,Inland,48.602875,-123520827,,,,4/8/82,4
RM_11768,,,1983,Salish Sea,Inland,48.425531,-123.424281,,,,8/19/83,8
RM_12847,,,1979,Salish Sea,Inland,48.980425,-125.392034,,,,7/1/79,7
RM_2361,,,1937,Salish Sea,Inland,48.419694,-123.242538,,,,7/12/37,7
RM_4934,,,1942,Salish Sea,Inland,48.412071,-123.313368,,,,8/16/42,8
RM_7412,,,1971,Salish Sea,Inland,48.387819,-123.513779,,,,7/27/71,7
RM_7714,,,1969,Salish Sea,Inland,48.649692,-123.393623,,,,4/24/69,4
RM_9723,,,1977,Salish Sea,Inland,48.4198,-123.274305,,,,9/20/77,9
RM_9729,,,1969,Strait of Georgia,Inland,49.020474,-123.042875,,,,8/17/69,8
RM_9730,,,1969,Strait of Georgia,Inland,49.020474,-123.042875,,,,10/25/69,10
RM_9732,,,1969,Strait of Georgia,Inland,49.020474,-123.042875,,,,9/1/69,9
RM_9733,,,1969,Strait of Georgia,Inland,49.020474,-123.042875,,,,10/1/69,10
RM_9802,,,1970,Strait of Georgia,Inland,49.020474,-123.042875,,,,3/1/70,3
RM_9804,,,1969,Strait of Georgia,Inland,49.020474,-123.042875,,,,10/8/69,10
RM_9874,,,1970,Strait of Georgia,Inland,49.020474,-123.042875,,,,3/1/70,3
SI_253041,,M,1928,Skagit County,Inland,48.473108,-122.468463,,,,7/1/28,7
SI_253042,,F,1928,Skagit County,Inland,48.473108,-122.468463,,,,7/1/28,7
SI_253043,,F,1928,Skagit County,Inland,48.473108,-122.468463,,,,7/1/28,7
SI_274144,,M,1942,Pacific County,coastal,46.619545,-123.95812,,,,5/31/42,5
SI_274146,,F,1942,Pacific County,Coastal,46.619545,-123.95812,,,,5/31/42,5
SI_274152,,M,1942,Thurston County,Inland,47.095908,-122.686415,,,,7/9/42,7
SI_274153,,F,1942,Thurston County,Inland,47.095908,-122.686415,,,,7/8/42,7
SI_274154,,M,1942,Thurston County,Inland,47.095908,-122.686415,,,,7/29/42,7
SI_274156,,F,1942,Pacific County,Coastal,46.619545,-123.95812,,,,7/14/42,7
SI_276058,,F,1942,Pacific County,Coastal,46.490551,-124.0598,,,,6/14/42,6
SI_276059,,F,1942,Pacific County,Coastal,46.619545,-123.95812,,,,5/31/42,5
SM_15204,,M,1971,Pierce,Inland,47.228131,-122.677532,,,12,1/16/71,1
SM_15209,,,1970,Pierce,Inland,47.368651,-122.546965,,,,9/8/70,9
SM_15210,,,1970,Pierce,Inland,47.368651,-122.546965,,,,9/8/70,9
SM_15274,,F,1969,Grays Harbor,Coastal,46.906289,-124.121322,,,11,5/18/69,5
SM_16043,,F,1972,Pierce,Inland,47.216785,-122.660398,,,,6/14/72,6
SM_16044,,F,1977,Pierce,Inland,47.216785,-122.660398,,,,8/1/72,8
SM_16056,,M,1972,Island,Inland,48.319011,-122.83727,129.5,49.9,8,7/18/72,7
SM_16062,,M,1972,Island,Inland,48.322464,-122.824309,144.8,61.2,12,8/9/72,8
SM_16096,,F,1972,Grays Harbor,Coastal,46.929986,-124.168851,149.9,72.6,15,6/9/72,6
SM_16097,,F,1972,Grays Harbor,Coastal,46.929986,-124.168851,77.5,7,0,6/14/72,6
SM_16098,,F,1972,Grays Harbor,Coastal,46.929986,-124.168851,132.1,,5,7/2/72,7
SM_19882,,M,1965,Pierce,Inland,47.368651,-122.546965,,,,11/20/75,11
SM_20085,,M,1975,Pierce,Inland,47.216785,-122.660398,,,,9/1/75,9
SM_20087,,F,1976,Pierce,Inland,47.216785,-122.660398,,,,1/4/76,1
SM_21180,,F,1976,Pierce,Inland,47.216785,-122.660398,,,,9/4/76,9
SM_21182,,F,1976,Pierce,Inland,47.216785,-122.660398,,,,8/25/76,8
SM_25695,,M,1977,Grays Harbor,Coastal,47.096914,-124.187536,,,,2/3/77,2
SM_25696,,M,1977,Grays Harbor,Coastal,47.096914,-124.187536,,,,2/3/77,2
SM_25700,,M,1977,Grays Harbor,Coastal,47.311683,-124.279235,,,,2/3/77,2
SM_25701,,F,1977,Grays Harbor,Coastal,47.311683,-124.279235,,,,3/17/77,3
SM_25702,,F,1977,Grays Harbor,Coastal,47.311683,-124.279235,,,,3/17/77,3
SM_25705,,F,1977,Grays Harbor,Coastal,47.311683,-124.279235,,,,5/20/77,5
SM_25706,,M,1977,Grays Harbor,Coastal,46.983304,-123.984406,,,,5/20/77,5
SM_25711,,F,1977,Grays Harbor,Coastal,46.983304,-123.984406,,,,6/10/77,6
SM_25712,,F,1977,Grays Harbor,Coastal,46.983304,-123.984406,,,,6/10/77,6
SM_25714,,M,1977,Grays Harbor,Coastal,47.227824,-124.212433,,,,6/10/77,6
SM_25740,,F,1978,Grays Harbor,Coastal,47.227824,-124.212433,,,,6/9/78,6
SM_25742,,M,1978,Grays Harbor,Coastal,47.227824,-124.212433,,,,6/9/78,6
SM_25743,,F,1978,Grays Harbor,Coastal,47.227824,-124.212433,,,,4/14/78,4
SM_25744,,F,1978,Grays Harbor,Coastal,47.227824,-124.212433,,,,7/21/78,7
SM_25892,,F,1977,Island,Inland,48.322464,-122.824309,,,,6/21/77,6
SM_25893,,F,1977,Island,Inland,48.322464,-122.824309,,,,6/14/77,6
SM_25894,,F,1977,Island,Inland,48.322464,-122.824309,,,,6/9/77,6
SM_25895,,F,1977,Island,Inland,48.322464,-122.824309,,,,7/14/77,7
SM_25896,,F,,Coastal,Coastal,46.703882,-123.971109,,,,,
SM_27370,,M,1979,Pierce,Inland,47.216785,-122.660398,,,,8/23/79,8
