"","years","Location.2","Sample.ID","PHE.mean","GLU.mean","d13C","d13C.s","d15N","Sex","Length","TP","SD"
"39",1998,"Inland","NM_1917",5.885112429,27.99969079,-9.9073,-10.6894584407013,17.8737,"F",145,5.54097318701404,0.332305037975082
"40",1998,"Inland","NM_1918",12.58214229,26.76421781,-10.3121,-11.0942584407013,18.2801,"F",145,4.33907881716556,0.115566766075835
"41",1998,"Inland","NM_1919",11.90905669,26.32995522,-10.5249,-11.3070584407013,17.9926,"M",154,4.37526412171101,0.12044587866495
"42",1991,"Coastal","NM_1984",11.158561,29.75858825,-12.966,-13.61346020331,17.8156,"M",148,5.00846544292313,0.222366442730092
"43",1991,"Coastal","NM_1995",13.26905558,27.95266015,-13.1746,-13.82206020331,17.6423,"F",170,4.41506806716555,0.125930960159663
"44",1991,"Coastal","NM_2001",10.29911985,28.29345852,-14.0639,-14.71136020331,16.7595,"F",155,4.91669444595343,0.205655773974361
"45",1991,"Coastal","NM_2016",12.03476673,29.22332031,-13.4448,-14.09226020331,17.2948,"M",159,4.79460579595343,0.184443513624908
"46",1992,"Coastal","NM_2024",10.7354811,26.86648645,-14.0446,-14.7097797664514,17.0014,"F",156,4.6343712156504,0.158369083170348
"47",1992,"Coastal","NM_2025",10.65287416,26.54270611,-14.9391,-15.6042797664514,16.3401,"F",157,4.59782979140798,0.152703441013203
"48",1992,"Coastal","NM_2027",10.98269079,26.76479722,-13.3855,-14.0506797664514,17.4521,"M",168,4.58150774292313,0.150206428340052
"49",1992,"Coastal","NM_2028",8.865713588,27.26719575,-12.1156,-12.7807797664514,17.7579,"M",165,4.97838285383222,0.216816251710678
"50",1992,"Coastal","NM_2032",11.26091541,26.69066548,-13.1559,-13.8210797664514,17.2414,"M",148,4.5281204156504,0.142184261529821
"51",1981,"Coastal","NM_2044",10.81203959,26.54975115,-13.3601,-13.854357842606,17.9678,"M",158,4.57478124746859,0.14918343252111
"52",1981,"Coastal","NM_2045",13.2075799,30.1020194,-13.4284,-13.922657842606,17.6852,"M",167,4.75004305655949,0.176990801222516
"53",1981,"Coastal","NM_2048",9.852350448,29.46098859,-13.9664,-14.460657842606,17.3541,"F",159,5.16128527504434,0.251652302594621
"54",1981,"Coastal","NM_2050",14.39043195,29.49715648,-13.2173,-13.711557842606,17.923,"M",165,4.47917715201404,0.135025335992668
"55",1982,"Coastal","NM_2062",12.91273121,29.9970903,-12.6153,-13.1230845937567,18.3572,"M",154,4.77881875201404,0.181785545132176
"56",1982,"Coastal","NM_2064",12.83990823,29.71810562,-12.6263,-13.1340845937567,18.1152,"M",146,4.74758213080192,0.176583750027123
"57",1982,"Coastal","NM_2065",13.35883333,25.8699176,-12.3241,-12.8318845937567,16.9694,"F",152,4.08589832474131,0.0842878654209315
"58",1982,"Coastal","NM_2067",11.45499313,29.54245454,-12.7824,-13.2901845937567,17.8405,"M",136,4.93080395201404,0.208182223424034
"59",1982,"Coastal","NM_2068",15.17064089,29.03002339,NA,NA,NA,"M",176,4.29018593534737,0.109136543521987
"60",2013,"Inland","NM_2231",12.11708677,34.52881579,-10.5979,-11.770592105584,17.8413,"F",NA,5.58599601413525,0.342614973876236
"61",2013,"Inland","NM_2232",12.05602983,28.27049167,-12.9218,-14.094492105584,16.9191,"F",NA,4.64701613837768,0.160353914779625
"62",2013,"Inland","NM_2233",14.32697832,25.57555802,-12.4132,-13.585892105584,17.026,"M",NA,3.89460975352919,0.0639734492813647
"63",2013,"Inland","NM_2233",14.32697832,25.57555802,-12.5233,-13.695992105584,17.0187,"M",NA,3.89460975352919,0.0639734492813647
"64",2013,"Inland","NM_2234",11.6237319,26.04870733,-13.1792,-14.351892105584,16.3416,"F",NA,4.37588183383222,0.120530056241929
"65",2013,"Inland","NM_2235",10.2722802,26.67402842,-13.7537,-14.926392105584,16.3935,"F",NA,4.6753928626201,0.164853544467583
"66",2014,"Inland","NM_2236",13.86935583,26.1108804,-14.1314,-15.3361861118319,16.394,"",NA,4.04505594595343,0.0797106943655254
"67",1979,"Inland","RM_10273",14.41327274,25.99244541,-11.6742,-12.1424757489752,18.2963,"",NA,3.94469959746859,0.0690168574680814
"68",1979,"Inland","RM_10273",14.41327274,25.99244541,-12.9297,-13.3979757489752,18.0237,"",NA,3.94469959746859,0.0690168574680814
"69",1982,"Inland","RM_10834",13.91252257,28.57654487,-13.4412,-13.9489845937567,18.4654,"",NA,4.41210105655949,0.125517833369237
"70",1983,"Inland","RM_11409",18.19933289,28.59382686,-11.7278,-12.249481542365,16.9206,"",NA,3.76520282474131,0.0518503381405796
"71",1982,"Inland","RM_11449",14.9120444,28.44799882,NA,NA,NA,"",NA,4.24118168080192,0.102878899037826
"72",1983,"Inland","RM_11768",14.11611234,28.43045367,-11.9683,-12.489981542365,18.6133,"",NA,4.35911909140798,0.118256306488885
"73",1979,"Inland","RM_12847",14.71579263,28.50993269,-12.8222,-13.2904757489752,18.8131,"",NA,4.28030071716556,0.107859149660751
"74",1937,"Inland","RM_2361",14.093963,26.31757013,-14.1979,-14.3485647740719,17.739,"",NA,4.04234118231707,0.0794110678824715
"75",1942,"Inland","RM_4934",14.94922054,26.94199091,-13.58,-13.7524413760312,18.8514,"",NA,4.0073659156504,0.0756023188426099
"76",1971,"Inland","RM_7412",14.73779601,26.75194761,-12.3778,-12.7551063019606,16.4037,"",NA,4.01060549595343,0.0759510914719606
"77",1969,"Inland","RM_7714",11.28806572,28.00000007,-10.3845,-10.7419721044629,17.795,"",NA,4.72239076110495,0.172444139318095
"78",1977,"Inland","RM_9723",9.853526643,27.12400909,-12.9282,-13.3718594792753,18.5437,"",NA,4.8070192606504,0.186547155012438
"79",1969,"Inland","RM_9729",11.64369857,27.1379829,-12.0156,-12.3730721044629,17.5623,"",NA,4.53789833383222,0.143636884452201
"80",1969,"Inland","RM_9730",11.65878325,26.02046699,-10.6743,-11.0317721044629,17.2797,"",NA,4.36629218383222,0.119226602185573
"81",1969,"Inland","RM_9730",11.65878325,26.02046699,-14.8497,-15.2071721044629,13.66,"",NA,4.36629218383222,0.119226602185573
"82",1969,"Inland","RM_9732",15.21319324,26.98758874,-10.845,-11.2024721044629,16.6755,"",NA,3.97427881413525,0.0720870753267473
"83",1969,"Inland","RM_9733",14.72569534,27.83241045,-11.8219,-12.1793721044629,17.2402,"",NA,4.17614542171101,0.0948634840940048
"84",1969,"Inland","RM_9733",14.72569534,27.83241045,-16.2413,-16.5987721044629,14.2795,"",NA,4.17614542171101,0.0948634840940048
"85",1970,"Inland","RM_9802",12.36624135,26.25033616,-11.7358,-12.1030553305113,17.0746,"",NA,4.29393022474131,0.109622382072466
"86",1969,"Inland","RM_9804",10.92904159,27.81211645,-12.1834,-12.5408721044629,17.43,"",NA,4.74832114140798,0.176705936946168
"87",1970,"Inland","RM_9874",11.51381038,29.50999256,-12.973,-13.3402553305113,17.4517,"",NA,4.9169737656504,0.205705638223359
"88",1928,"Inland","SI_253041",16.63569812,28.79415194,-6.6578,-6.77596209043339,18.021,"M",NA,4.03246946868071,0.0783263831091107
"89",1928,"Inland","SI_253042",8.925944569,26.55679496,-10.5404,-10.6585620904334,17.7126,"F",NA,4.86162046428677,0.195942921425332
"90",1928,"Inland","SI_253043",17.53223865,28.88655924,-11.2747,-11.3928620904334,17.8662,"F",NA,3.91063110049889,0.065565292863862
"91",1942,"Coastal","SI_274144",15.84088081,28.19665264,-13.5214,-13.6938413760312,19.3902,"M",NA,4.06236613686253,0.0816347355408458
"92",1942,"Coastal","SI_274146",7.499578292,17.20994543,-13.3494,-13.5218413760312,17.4496,"F",NA,3.66154724413525,0.0430824813280119
"93",1942,"Inland","SI_274152",11.61622728,30.3593547,-11.9956,-12.1680413760312,17.4284,"M",NA,5.03014728686253,0.226410510775383
"94",1942,"Inland","SI_274153",12.57958677,27.46594686,-10.5314,-10.7038413760312,18.4356,"F",NA,4.44578860049889,0.130248878272744
"95",1942,"Inland","SI_274154",9.838522647,28.31712193,-9.8041,-9.97654137603122,18.3495,"M",NA,4.99006726610495,0.218963618020556
"96",1942,"Coastal","SI_274156",13.94583067,27.63340919,-12.1703,-12.3427413760312,17.3823,"F",NA,4.26415502928677,0.105789163840162
"97",1942,"Coastal","SI_276058",10.47712633,23.9203968,-11.8847,-12.0571413760312,18.8113,"F",NA,4.22713865807465,0.101120215188278
"98",1942,"Coastal","SI_276059",6.014049229,21.73708185,-13.789,-13.9614413760312,18.8196,"F",NA,4.57255716580192,0.148845961028755
"99",1970,"Inland","SM_15182",9.725371948,25.6215866,-11.9991,-12.3663553305113,17.6128,"M",NA,4.59879686746859,0.152852040722707
"100",1971,"Inland","SM_15204",10.73133333,29.43034407,-12.4283,-12.8056063019606,18.4696,"M",NA,5.02346294140798,0.225159843392014
"101",1970,"Inland","SM_15209",NA,27.29668746,-11.807,-12.1742553305113,18.3053,"",NA,NA,NA
