"","Sample.ID","Year","Up.DFA1","Climate.DFA1.x","SST.DFA1","Dis.DFA1","years.x","Location.2","TP","AA","TP.norm","years.y","PHE.mean","PHE.norm","years","d13C.s","d13C.norm"
"84","BM_80780",2007,0.695408822716758,-0.397162327868567,-0.0418161713544674,-0.261227556236993,2006,"Inland",2.89231150413223,"Glu",-2.04133031547959,2006,17.5675,2.14556062072751,2006,-12.1282387015099,1.02325231682641
"85","BM_80782",2008,0.865218035063305,-0.783922937396078,-1.23309475697599,-0.206169583201123,2007,"Inland",5.40066452809917,"Glu",1.06052526609283,2007,10.74410739,-0.54606264753366,2007,-12.9087056868277,0.485197065279484
"86","BM_80782",2008,0.865218035063305,-0.783922937396078,-1.23309475697599,-0.206169583201123,2007,"Inland",3.63081447827869,"ASP",0.0859744779490737,2007,10.74410739,-0.54606264753366,2007,-12.9087056868277,0.485197065279484
"87","BM_80782",2008,0.865218035063305,-0.783922937396078,-1.23309475697599,-0.206169583201123,2007,"Inland",7.09068645340909,"ALA",1.06052526609283,2007,10.74410739,-0.54606264753366,2007,-12.9087056868277,0.485197065279484
"88","BM_81078",2009,0.482065673653947,0.382787320156893,-0.931646658346098,-0.518990062647168,2008,"Inland",4.20746146516393,"ASP",0.442844432643141,2008,10.25948625,-0.73723111918273,2008,NA,NA
"89","BM_81078",2009,0.482065673653947,0.382787320156893,-0.931646658346098,-0.518990062647168,2008,"Inland",4.32589050702479,"Glu",-0.268551528259758,2008,10.25948625,-0.73723111918273,2008,NA,NA
"90","BM_81078",2009,0.482065673653947,0.382787320156893,-0.931646658346098,-0.518990062647168,2008,"Inland",5.61287217443182,"ALA",-0.268551528259758,2008,10.25948625,-0.73723111918273,2008,NA,NA
"91","NM_1905",2000,0.132094843497908,-0.601478218146761,0.0185993658807122,-0.185738968311829,1999,"Inland",2.94686986188524,"ASP",-0.337298841458996,1999,14.86308703,1.07875100077816,1999,-10.9691643986362,1.82232008948862
"92","NM_1905",2000,0.132094843497908,-0.601478218146761,0.0185993658807122,-0.185738968311829,1999,"Inland",4.88828896193182,"ALA",-0.920207657863316,1999,14.86308703,1.07875100077816,1999,-10.9691643986362,1.82232008948862
"93","NM_1905",2000,0.132094843497908,-0.601478218146761,0.0185993658807122,-0.185738968311829,1999,"Inland",3.79892089793388,"Glu",-0.920207657863316,1999,14.86308703,1.07875100077816,1999,-10.9691643986362,1.82232008948862
"94","NM_1915",1997,-0.731115566885042,1.69087268067637,2.63292472820142,1.70764063657279,1996,"Inland",1.61239119877049,"ASP",-1.16316865588106,1996,13.47608296,0.53161958956292,1996,-11.3051420190918,1.59069655320955
"95","NM_1915",1997,-0.731115566885042,1.69087268067637,2.63292472820142,1.70764063657279,1996,"Inland",5.30603909034091,"ALA",-0.544502801438069,1996,13.47608296,0.53161958956292,1996,-11.3051420190918,1.59069655320955
"96","NM_1915",1997,-0.731115566885042,1.69087268067637,2.63292472820142,1.70764063657279,1996,"Inland",4.1027391731405,"Glu",-0.544502801438068,1996,13.47608296,0.53161958956292,1996,-11.3051420190918,1.59069655320955
"97","NM_1917",1999,-1.16475164488179,-1.02651998631253,0.0639481621701528,0.80480311530492,1998,"Inland",6.55793588954546,"Glu",2.49161913429923,1998,5.885112429,-2.46279009455526,1998,-10.6894584407013,2.01514984704019
"98","NM_1917",1999,-1.16475164488179,-1.02651998631253,0.0639481621701528,0.80480311530492,1998,"Inland",8.68193457539772,"ALA",2.49161913429923,1998,5.885112429,-2.46279009455526,1998,-10.6894584407013,2.01514984704019
"99","NM_1917",1999,-1.16475164488179,-1.02651998631253,0.0639481621701528,0.80480311530492,1998,"Inland",5.56950689741803,"ASP",1.28577451422616,1998,5.885112429,-2.46279009455526,1998,-10.6894584407013,2.01514984704019
"100","NM_1918",1999,-1.16475164488179,-1.02651998631253,0.0639481621701528,0.80480311530492,1998,"Inland",4.26341027438017,"Glu",-0.345815237360873,1998,12.58214229,0.178986867785977,1998,-11.0942584407013,1.73608004662127
