"","Sample.ID","NLE.mean","ALA.mean","VAL.mean","ILE.mean","ASP.mean","PHE.mean","GLU.mean","TYR.mean","THR.mean","SER.mean","PRO.mean","GLY.mean","years","Location.2","Length","Sex","Lat","Long","State","Museum","N.quantity..ug.","d15N","C.quantity..ug.","d13C","Year","d13C.s"
"32","BM_82369",14.49369137,21.65282216,20.35101289,NA,22.17583033,13.15763832,26.21867354,NA,-15.38126503,16.50566667,28.93633333,8.938666667,2014,"SE",135,"F",59.9326,-139.5983,"AK",NA,NA,NA,NA,NA,2015,NA
"33","BM_82370",17.31790775,23.03139884,22.30477599,NA,19.56792472,9.226383591,26.20408033,NA,-32.39414648,16.93574076,27.81566667,12.0655,2014,"SE",111,"F",59.5278,-139.7673,"AK",NA,NA,NA,NA,NA,2015,NA
"34","BM_82371",20.33305956,22.23810982,23.83171148,NA,21.59402577,8.391690292,27.61451103,NA,-27.78653823,21.08227463,29.61066667,11.679,2014,"SE",118,"F",59.9385,-139.6076,"AK",NA,NA,NA,NA,NA,2015,NA
"35","BM_82372",NA,20.96539681,23.83214979,NA,20.49127508,7.970988813,24.50919924,NA,-29.07846825,15.88022222,28.99311111,6.927,2014,"SE",122,"F",59.9342,-139.6176,"AK",NA,NA,NA,NA,NA,2015,NA
"36","BM_82685",13.13634542,22.70120162,19.27534526,NA,26.25033796,11.95434708,27.51280504,NA,-28.63511426,22.26661082,28.64033333,13.79638889,2012,"Inland",99,"",47.097241,-122.705579,"WA","UWBM",42.329,18.71,119.5172,-13.3727,2013,-14.514153043817
"37","NM_1905",13.96204618,21.7128656,22.30162937,NA,23.44931912,14.86308703,27.43935642,NA,-3.757355832,15.41252575,28.33,11.95966667,1999,"Inland",170,"M",47.2179,-122.6599,"WA","NMML",46.6683,18.211,128.8501,-10.1656,2000,-10.9691643986362
"38","NM_1915",12.57270807,23.1850262,29.9850612,NA,17.41070371,13.47608296,27.10269553,NA,-25.08732697,16.22011501,27.51466667,9.738,1996,"Inland",149,"M",47.2179,-122.6599,"WA","NMML",44.7853,17.8098,127.1254,-10.5641,1997,-11.3051420190918
"39","NM_1917",9.904899275,22.61466976,24.9898119,NA,23.6131079,5.885112429,27.99969079,NA,-15.03551084,15.52627665,15.54,10.979,1998,"Inland",145,"F",47.2179,-122.6599,"WA","NMML",46.7206,17.8737,128.4568,-9.9073,1999,-10.6894584407013
"40","NM_1918",NA,22.40930304,23.71300585,NA,NA,12.58214229,26.76421781,NA,-20.91555842,16.1334027,24.32766667,16.86511111,1998,"Inland",145,"F",47.2179,-122.6599,"WA","NMML",49.4471,18.2801,137.9539,-10.3121,1999,-11.0942584407013
"41","NM_1919",10.58291244,23.64536471,21.88845367,NA,25.65577709,11.90905669,26.32995522,NA,-14.98416015,15.94113159,27.53333333,11.63666667,1998,"Inland",154,"M",47.2179,-122.6599,"WA","NMML",49.1669,17.9926,135.6992,-10.5249,1999,-11.3070584407013
"42","NM_1984",14.42042447,22.70808279,22.3746653,NA,23.20179407,11.158561,29.75858825,NA,-28.96395404,17.7660232,24.83833333,34.786,1991,"Coastal",148,"M",46.23055556,-123.866666,"WA","NMML",46.416,17.8156,131.1326,-12.966,1992,-13.61346020331
"43","NM_1995",12.39021793,25.18517466,22.64190475,NA,23.77120336,13.26905558,27.95266015,NA,-5.835747928,15.14351517,30.85666667,10.19066667,1991,"Coastal",170,"F",NA,NA,"WA","NMML",48.5963,17.6423,135.0241,-13.1746,1992,-13.82206020331
"44","NM_2001",13.21372114,21.27546016,24.72562541,NA,24.02788956,10.29911985,28.29345852,NA,-21.6036817,20.79241881,16.502,9.665666667,1991,"Coastal",155,"F",46.1331,-123.5713,"WA","NMML",48.5421,16.7595,133.0124,-14.0639,1992,-14.71136020331
"45","NM_2016",NA,24.13070574,27.55959858,NA,NA,12.03476673,29.22332031,NA,-27.48700947,17.66229544,27.37266667,11.93416667,1991,"Coastal",159,"M",46.398712,-124.062234,"WA","NMML",46.9528,17.2948,130.8645,-13.4448,1992,-14.09226020331
"46","NM_2024",NA,22.35456077,24.32785191,NA,NA,10.7354811,26.86648645,NA,-26.80441624,15.74841065,26.86333333,42.17933333,1992,"Coastal",156,"F",NA,NA,"WA","NMML",46.6982,17.0014,130.3131,-14.0446,1993,-14.7097797664514
"47","NM_2025",7.287780522,19.42858615,19.98022396,NA,23.80688443,10.65287416,26.54270611,NA,-19.90632046,15.89787074,22.41333333,5.103,1992,"Coastal",157,"F",46.794664,-124.098201,"WA","NMML",44.9364,16.3401,123.1058,-14.9391,1993,-15.6042797664514
"48","NM_2027",13.1606361,23.87848372,19.69618014,NA,23.67760235,10.98269079,26.76479722,NA,-12.91114002,15.26417126,28.513,9.097,1992,"Coastal",168,"M",46.625299,-123.957213,"WA","NMML",48.8018,17.4521,135.7254,-13.3855,1993,-14.0506797664514
"49","NM_2028",13.16313595,21.703254,24.96493946,NA,24.51272247,8.865713588,27.26719575,NA,-27.00534665,19.93181039,19.19166667,9.511333333,1992,"Coastal",165,"M",46.745916,-124.095354,"WA","NMML",46.8514,17.7579,130.2305,-12.1156,1993,-12.7807797664514
"50","NM_2032",13.00539347,24.02509236,25.12977435,NA,23.85571066,11.26091541,26.69066548,NA,-15.91735568,15.80330958,27.229,10.144,1992,"Coastal",148,"M",46.265153,-123.966564,"WA","NMML",45.4652,17.2414,127.6069,-13.1559,1993,-13.8210797664514
"51","NM_2044",12.81956346,23.63175429,23.8133038,NA,25.07447506,10.81203959,26.54975115,NA,-27.37281986,18.40465283,19.56933333,10.046,1981,"Coastal",158,"M",46.4175,-123.5002778,"WA","NMML",42.0802,17.9678,118.4463,-13.3601,1982,-13.854357842606
"52","NM_2045",12.27932858,20.76659044,26.28268443,NA,24.76978309,13.2075799,30.1020194,NA,-4.306246134,16.90561254,25.67766667,20.64266667,1981,"Coastal",167,"M",46.176001,-123.982239,"WA","NMML",41.0026,17.6852,118.5012,-13.4284,1982,-13.922657842606
"53","NM_2048",11.72061858,23.92904808,27.10039527,NA,24.97109128,9.852350448,29.46098859,NA,-35.36649959,17.65777017,23.208,8.628333333,1981,"Coastal",159,"F",46.0511111,-123.9188889,"WA","NMML",46.3842,17.3541,130.4872,-13.9664,1982,-14.460657842606
"54","NM_2050",13.94625469,25.28391198,24.08562673,NA,23.82141483,14.39043195,29.49715648,NA,-9.01291035,17.88143765,29.984,14.74633333,1981,"Coastal",165,"M",46.207228,-123.955586,"WA","NMML",47.8911,17.923,134.4329,-13.2173,1982,-13.711557842606
"55","NM_2062",12.23577579,24.20212421,23.26671932,NA,25.41134425,12.91273121,29.9970903,NA,-1.262474654,20.27130465,27.23966667,10.20233333,1982,"Coastal",154,"M",46.2437222,-123.7333333,"WA","NMML",46.0641,18.3572,129.0832,-12.6153,1983,-13.1230845937567
"56","NM_2064",11.19225941,23.38537392,26.94213138,NA,25.88728835,12.83990823,29.71810562,NA,-34.02342282,18.79167042,27.54333333,8.682333333,1982,"Coastal",146,"M",46.16805556,-123.9352778,"WA","NMML",47.2122,18.1152,131.3377,-12.6263,1983,-13.1340845937567
"57","NM_2065",13.38147061,21.19140175,23.44987104,NA,23.65539556,13.35883333,25.8699176,NA,-22.94070833,15.23866667,26.01433333,15.39366667,1982,"Coastal",152,"F",46.96833333,-124.1672222,"WA","NMML",42.7739,16.9694,120.1673,-12.3241,1983,-12.8318845937567
"58","NM_2067",10.09751988,21.18677913,16.96083115,NA,24.01933729,11.45499313,29.54245454,NA,-10.7834506,15.92255842,27.45833333,25.48433333,1982,"Coastal",136,"M",46.245821,-123.867945,"WA","NMML",46.3945,17.8405,130.881,-12.7824,1983,-13.2901845937567
"59","NM_2068",12.60160374,25.81127148,23.51947869,NA,24.32166463,15.17064089,29.03002339,NA,-10.06615851,16.80996907,30.10866667,33.96133333,1982,"Coastal",176,"M",46.204797,-123.949117,"WA",NA,NA,NA,NA,NA,1983,NA
"60","NM_2231",11.22227932,21.07821306,22.14672432,NA,22.86450803,12.11708677,34.52881579,NA,-24.57717053,12.81472079,22.69233333,34.31066667,2013,"Inland",NA,"F",47.320554,-122.574221,"WA","NMML",47.2045,17.8413,131.5467,-10.5979,2014,-11.770592105584
"61","NM_2232",18.06113347,24.69064358,20.99145626,NA,23.32625629,12.05602983,28.27049167,NA,-17.47400636,14.6139983,27.28266667,10.485,2013,"Inland",NA,"F",47.689483,-122.40326,"WA","NMML",55.5454,16.9191,157.1532,-12.9218,2014,-14.094492105584
"62","NM_2233",13.83663688,24.05547425,21.08422358,NA,22.53326077,14.32697832,25.57555802,NA,-10.67557149,14.73799741,29.15066667,14.244,2013,"Inland",NA,"M",47.378484,-122.625431,"WA","NMML",44.2329,17.026,123.7433,-12.4132,2014,-13.585892105584
"63","NM_2233",13.83663688,24.05547425,21.08422358,NA,22.53326077,14.32697832,25.57555802,NA,-10.67557149,14.73799741,29.15066667,14.244,2013,"Inland",NA,"M",47.378484,-122.625431,"WA","NMML",47.7112,17.0187,132.8897,-12.5233,2014,-13.695992105584
"64","NM_2234",15.54098714,24.09619775,23.48808933,NA,22.80199658,11.6237319,26.04870733,NA,-30.94316363,14.83303763,27.102,9.373666667,2013,"Inland",NA,"F",47.579966,-122.409659,"WA","NMML",42.7739,16.3416,121.1143,-13.1792,2014,-14.351892105584
"65","NM_2235",13.59101517,23.94611664,19.93516563,NA,22.39640238,10.2722802,26.67402842,NA,-4.757630255,14.41365349,26.377,9.353,2013,"Inland",NA,"F",47.720204,-122.79073,"WA","NMML",46.1939,16.3935,129.1733,-13.7537,2014,-14.926392105584
"66","NM_2236",12.18072765,23.56414387,9.765487271,NA,20.72850888,13.86935583,26.1108804,NA,-17.09781291,13.8505074,27.38533333,30.71866667,2014,"Inland",NA,"",47.2179,-122.6599,"WA","NMML",42.9932,16.394,119.3807,-14.1314,2015,-15.3361861118319
"67","RM_10273",20.93964753,21.70468063,24.16312159,NA,21.28856894,14.41327274,25.99244541,NA,-22.26237887,17.55400788,26.26458333,10.72975,1979,"Inland",NA,"",48.737991,-123.430264,"WA","RM",41.6143,18.2963,115.7609,-11.6742,1980,-12.1424757489752
"68","RM_10273",20.93964753,21.70468063,24.16312159,NA,21.28856894,14.41327274,25.99244541,NA,-22.26237887,17.55400788,26.26458333,10.72975,1979,"Inland",NA,"",48.737991,-123.430264,"WA","RM",43.6418,18.0237,134.0026,-12.9297,1980,-13.3979757489752
"69","RM_10834",14.37758654,24.73533013,30.64334615,NA,28.39025962,13.91252257,28.57654487,NA,-28.31540142,13.89708518,27.73266667,11.21166667,1982,"Inland",NA,"",49.325751,-122.947681,"WA","RM",36.8801,18.4654,103.3607,-13.4412,1983,-13.9489845937567
"70","RM_11409",16.71361053,22.20576943,27.62971899,NA,25.84493876,18.19933289,28.59382686,NA,-32.63017895,12.19845086,26.19966667,8.059,1983,"Inland",NA,"",48.660607,-123.449852,"WA","RM",24.5369,16.9206,68.4252,-11.7278,1984,-12.249481542365
