,Sample.ID,NLE.mean,ALA.mean,VAL.mean,ILE.mean,ASP.mean,PHE.mean,GLU.mean,TYR.mean,THR.mean,SER.mean,PRO.mean,GLY.mean,TP.class,TP.ger,X,Sex,years,County,Location.2,Lat,Long,Length,Weight,Age,Date,Month
130,SM_27370,18.27006529,23.45304081,21.38874656,NA,15.41260825,12.13585266,27.5323793,NA,0.017615979,18.53233333,26.95366667,12.49666667,2.578490346,3.789889914,NA,M,1979,Pierce,Inland,47.216785,-122.660398,NA,NA,NA,8/23/79,8
4,BM_32516,15.42084278,20.81010223,25.0977573,NA,9.179434708,NA,25.11268428,NA,NA,NA,28.032,8.5615,NA,NA,1,F,1979,Pacific,Coastal,46.3525,-124.0531,133,NA,NA,5/10/79,5
19,BM_39398,18.60311082,20.91485137,25.39129124,NA,24.29569459,10.52203436,25.20052534,NA,-24.57307002,20.24481658,20.90433333,9.402333333,2.484011971,3.622904879,1,F,1980,Kitsap,Inland,47.8628,-122.5133,92,NA,NA,2/16/80,2
20,BM_51206,13.61477149,22.44895314,20.38706913,NA,25.33427482,10.83458935,28.19609488,NA,-32.9836177,18.10276203,25.212,8.280777778,2.837040202,4.246861752,NA,M,1980,Pierce,Inland,47.3192,-122.4253,NA,NA,NA,7/8/80,7
55,NM_2050,13.94625469,25.28391198,24.08562673,NA,23.82141483,14.39043195,29.49715648,NA,-9.01291035,17.88143765,29.984,14.74633333,2.540358491,3.722494077,1,M,1981,Clatsop County,Coastal,46.207228,-123.955586,165,NA,NA,6/8/81,6
52,NM_2044,12.81956346,23.63175429,23.8133038,NA,25.07447506,10.81203959,26.54975115,NA,-27.37281986,18.40465283,19.56933333,10.046,2.623383099,3.869235245,1,M,1981,Pacific County,Coastal,46.4175,-123.5002778,158,NA,NA,4/16/81,4
53,NM_2045,12.27932858,20.76659044,26.28268443,NA,24.76978309,13.2075799,30.1020194,NA,-4.306246134,16.90561254,25.67766667,20.64266667,2.775584145,4.138241745,1,M,1981,Clatsop County,Coastal,46.176001,-123.982239,167,NA,NA,4/29/81,4
54,NM_2048,11.72061858,23.92904808,27.10039527,NA,24.97109128,9.852350448,29.46098859,NA,-35.36649959,17.65777017,23.208,8.628333333,3.132715545,4.769450731,1,F,1981,Grays Harbor County,Coastal,46.0511111,-123.9188889,159,NA,NA,6/2/81,6
58,NM_2065,13.38147061,21.19140175,23.44987104,NA,23.65539556,13.35883333,25.8699176,NA,-22.94070833,15.23866667,26.01433333,15.39366667,2.198826877,3.118856805,1,F,1982,Grays Harbor County,Coastal,46.96833333,-124.1672222,152,NA,NA,4/15/82,4
70,RM_11449,12.02313973,24.53974008,25.14761634,NA,26.28895629,14.9120444,28.44799882,NA,-29.16640616,14.96934991,28.64333333,8.535333333,2.333678212,3.3571987,NA,,1982,Salish Sea,Inland,48.602875,-123520827,NA,NA,NA,4/8/82,4
60,NM_2068,12.60160374,25.81127148,23.51947869,NA,24.32166463,15.17064089,29.03002339,NA,-10.06615851,16.80996907,30.10866667,33.96133333,2.376234539,3.432414534,1,M,1982,Clatsop County,Coastal,46.204797,-123.949117,176,NA,NA,5/18/82,5
68,RM_10834,14.37758654,24.73533013,30.64334615,NA,28.39025962,13.91252257,28.57654487,NA,-28.31540142,13.89708518,27.73266667,11.21166667,2.482108197,3.61954007,NA,,1982,Salish Sea,Inland,49.325751,-122.947681,NA,NA,NA,10/20/82,10
57,NM_2064,11.19225941,23.38537392,26.94213138,NA,25.88728835,12.83990823,29.71810562,NA,-34.02342282,18.79167042,27.54333333,8.682333333,2.773447025,4.13446451,1,M,1982,Clatsop County,Coastal,46.16805556,-123.9352778,146,NA,NA,3/5/82,3
56,NM_2062,12.23577579,24.20212421,23.26671932,NA,25.41134425,12.91273121,29.9970903,NA,-1.262474654,20.27130465,27.23966667,10.20233333,2.800573564,4.18240909,1,M,1982,Clatsop County,Coastal,46.2437222,-123.7333333,154,NA,NA,3/2/82,3
59,NM_2067,10.09751988,21.18677913,16.96083115,NA,24.01933729,11.45499313,29.54245454,NA,-10.7834506,15.92255842,27.45833333,25.48433333,2.932560712,4.4156887,1,M,1982,Pacific County,Coastal,46.245821,-123.867945,136,NA,NA,2/18/82,2
69,RM_11409,16.71361053,22.20576943,27.62971899,NA,25.84493876,18.19933289,28.59382686,NA,-32.63017895,12.19845086,26.19966667,8.059,1.920328154,2.626626504,NA,,1983,Salish Sea,Inland,48.660607,-123.449852,NA,NA,NA,4/14/83,4
71,RM_11768,15.56059184,22.38987241,26.48865601,NA,28.1844172,14.11611234,28.43045367,NA,-29.75189091,17.57848194,27.60233333,11.295,2.436097543,3.538218913,NA,,1983,Salish Sea,Inland,48.425531,-123.424281,NA,NA,NA,8/19/83,8
21,BM_51213,13.69705477,22.09291838,23.06769674,NA,26.55854854,13.83063574,28.89579381,NA,-14.90018686,16.6,24.90433333,12.192,2.53488922,3.712827459,NA,M,1983,Pierce,Inland,47.2901,-122.6664,109,NA,NA,10/15/83,10
8,BM_34983,15.82907313,24.26587135,23.63908827,NA,20.75247541,9.275568299,24.26778952,NA,-12.06914991,15.54855735,28.436,10.67383333,2.525292266,3.6958654,NA,M,1986,Cowlitz,Coastal,46.185552,-123.187834,106,NA,NA,2/4/86,2
5,BM_34967,20.15124485,21.84407474,25.7273256,NA,27.06912758,11.93828522,25.48749785,NA,-13.77413531,13.02749012,26.87166667,9.890666667,2.335422714,3.360282007,1,F,1987,Cowlitz,Coastal,46.185552,-123.187834,124,NA,NA,2/5/87,2
6,BM_34969,15.47317444,24.024625,23.94979167,NA,25.52725,12.55011945,27.69229167,NA,-3.870218546,18.82433333,29.46666667,11.04266667,2.54502266,3.730737725,NA,M,1987,Wahkiakum,Coastal,42.2706,-123.4558,104,NA,NA,2/18/87,2
13,BM_34997,16.37027104,23.77243396,20.50875834,NA,21.89174822,11.55928479,26.86002282,NA,-21.49979038,18.721,29.25333333,11.62833333,2.565886582,3.767613494,NA,M,1987,Coulitz,Coastal,46.185552,-123.187834,108,NA,NA,2/16/88,2
7,BM_34974,21.85508417,21.56076654,27.02557781,NA,20.7483262,9.545861254,24.9448417,NA,NA,19.71933333,NA,12.178,2.578813217,3.790460569,NA,M,1987,Columbia,Coastal,46.1408,-123.2525,123,NA,NA,2/19/87,2
9,BM_34988,7.991490588,23.82843342,27.38628651,NA,26.56309192,12.64108407,28.90800816,NA,-21.64469864,17.389,31.37466667,10.72466667,2.693016327,3.992307927,NA,M,1987,Wahkiakum,Coastal,46.1583,-123.2531,138,NA,NA,1/29/87,1
11,BM_34990,15.67233381,21.88124426,20.15998951,NA,21.4531864,9.579375,26.68410622,NA,-8.889666667,16.73333333,25.267,8.896333333,2.803254108,4.187146795,NA,F,1987,Clatsop,Coastal,46.277934,-123.486647,152,NA,NA,2/5/87,2
