"","Year","Col.Dis.An","UpInAn.45.Winter","UpInAn.45.Spring","UpInAn.45.Summer","UpInAn.45.Autumn","UpInAn.45.Annual","TUMI.45","LUSI.45","MEI","ONI","PDO","WA.SST.Wi","WA.SST.Su","WA.SST.Sp","WA.SST.Au","WA.SST.An","Col.Dis.low","Col.Dis.high","NOI","Fras.Dis.high","Fras.Dis.low","Fras.Dis.an","Dis.Total","NPGO"
"60",1938,0.00779606724111659,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155,0.166272317634297,0.423140181592224,0.0560966506747587,0.571323693856691,0.304208210939493,-0.129821264958732,0.209466491149961,NA,-0.254807259521201,-0.303432997363444,-0.277232424850894,0.0450733152949656,NA
"61",1939,-0.215883318870929,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065,-0.427061085635152,0.279806746533623,0.092763520791916,0.457656841541406,0.100791505807948,-0.185190179851629,-0.0975365663644858,NA,0.0245802245372122,0.0898094461760817,0.0485419479382365,-0.170553613774832,NA
"62",1940,-0.211439693088886,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76916666666667,1.25627215233074,0.972473118197023,1.06609687955656,1.23432348277677,1.13229140821527,-0.155644472508664,-0.143385315043171,NA,-0.0610876577748769,-0.0211647850896366,-0.0477072517519481,-0.16788491451217,NA
"63",1941,-0.273058739736088,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99416666666667,1.78293911145754,1.24647328604372,1.4594299967237,0.737656892404038,1.30662482165725,-0.0430621752514515,-0.377915859893626,NA,-0.281457282206361,0.144418657891835,-0.0895154770542614,-0.229101682098943,NA
"64",1942,-0.108045029430725,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465833333333333,1.21293878085044,0.186473184318457,0.549429831420161,0.334323546355074,0.570791335736034,-0.0947995352820659,-0.0769563012677779,NA,-0.197161963403513,-0.15913534828907,-0.184568167647996,-0.0681727837374755,NA
"65",1943,0.0995746808701128,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166666666667,0.492938831713074,0.476473146171523,0.552763241047462,0.404323559070738,0.481624694500699,-0.0225395191230131,0.244366811289595,NA,-0.12532992650323,-0.176908757753724,-0.148916769102764,0.137179172869743,NA
"66",1944,-0.449586547768314,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.126666666666667,0.556272343065613,-0.390859948107476,-0.00390345105053136,0.914323470061104,0.268958103492176,-0.235887685507048,-0.494641640658063,NA,-0.318851409735691,-0.0378232842370565,-0.198262643205918,-0.404215520026272,NA
"67",1945,-0.205050282813074,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.19,0.559605434801453,-0.0801932280350766,-0.110570015991909,-0.325343150829191,0.0108747599863186,-0.247971622342988,-0.102568324914269,NA,-0.181123228484555,-0.295778843321198,-0.229028399204134,-0.164366946852716,NA
"68",1946,0.0830084711342138,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.583333333333333,-0.213728114698061,0.226473464062957,-0.377236428345425,-0.705343265270091,-0.267458586062656,-0.0465239425726427,0.254082597597348,NA,0.0487627631558016,-0.333578619034645,-0.0921279948684113,0.121475055001856,NA
"69",1947,0.0555265658780364,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.360394323601055,0.326473527641189,0.386096892272194,0.190990111296456,0.135791551902196,-0.0104040266665866,0.178123240584249,NA,0.0497577881135189,-0.093563746007673,-0.00888908338720995,0.0954175600878866,NA
"70",1948,0.20374047749783,NA,NA,-3.34403896782221,35.3333333333333,1.25276296849537,NA,NA,NA,NA,-0.874166666666667,-0.140394374463684,0.122473372510191,-0.0305700922858918,-0.615676580801511,-0.166041918760225,0.0536076240689116,0.477864922488054,0.37075,0.199051911670503,0.157339074940811,0.179354261009555,0.244065571711218,NA
"71",1949,-0.0357027766667084,3.42317628838093,-2.30258509299405,-3.06027079469156,-24,-1.81915844341617,NA,NA,NA,NA,-1.22833333333333,-1.280394399895,-0.123526599515342,-0.457236669942938,-0.0923430313020184,-0.488375175163826,-0.217901589137268,0.19405158634255,1.02325,-0.0197324720929632,-0.079189438674117,-0.0464082128579175,0.00500404140637478,NA
"72",1950,0.195509615929849,-3.2188758248682,-1.54044504094715,-2.59026716544583,-35.6666666666667,-2.97892515523761,NA,NA,-1.09433333333333,-0.86,-1.81,-0.96039454612506,-0.240193393338609,-0.870569926982329,0.297990144357172,-0.443291930522207,0.0942715033228101,0.213151999007136,0.746333333333333,0.0758684194727,-0.085014536280438,0.0107357764834628,0.233778420608141,-0.766433333333333
"73",1951,0.182600133679209,2.81341071676004,3.06027079469156,2.07944154167984,4.66666666666667,2.53897387105828,NA,NA,0.01375,0.430833333333333,-0.769166666666667,0.282938793566103,0.436473502209891,-0.213903171306036,0.457656841541441,0.240791491502849,0.0685643819850199,0.246063308430729,-0.275,-0.020265663254623,-0.292178942287729,-0.124759288838819,0.21950818151632,-0.961158333333333
"74",1952,0.0207769815870815,-0.980829253011726,-2.68557734525015,0.847297860387204,-50.3333333333333,-2.79320800944252,NA,NA,-0.0625,0.174166666666667,-0.865833333333333,-0.29706113013995,-0.000859922676177405,-0.270569863404031,0.380990009571208,-0.0468752266622374,-0.168733383756841,0.198594416940557,0.143833333333333,0.0442728578829481,-0.24231377190678,-0.0652130257906265,0.0604135920776052,-0.639416666666667
"75",1953,-0.010476676390283,-3.47609868983527,-3.120895416508,-2.70805020110221,-4.66666666666667,-2.92673940206704,NA,NA,0.328833333333333,0.713333333333333,-0.156666666666667,0.132938857144387,0.299806886405891,0.0194300984489821,0.461323401396536,0.228374810848948,-0.0223262767722741,-0.00536009385998426,1.546,-0.133658350609712,-0.053469288805795,-0.103368098857501,0.0290972044567024,1.08228333333333
"76",1954,0.122052493707928,0,-2.90872089656436,-2.97892515523761,-55,-3.14630513203337,NA,NA,-0.922083333333333,-0.400833333333333,-0.290833333333333,-0.0637281782763477,0.31313988913209,-0.377236746236894,0.530990263884371,0.100791307125805,0.217521331399835,0.118410983641022,0.39075,0.0274318406869227,0.278638176230082,0.133980411206121,0.162953746613395,0.207075
"77",1955,-0.0146052578960472,3.61091791264422,2.484906649788,3.04452243772342,17.6666666666667,3.08724738238976,NA,NA,-1.60891666666667,-0.948333333333333,-1.94833333333333,-0.263727987541484,-0.17019338062291,-0.767236453776739,-0.525343277985769,-0.431625274981725,0.0369177361019286,-0.153570879366642,2.41641666666667,0.0762559037359996,0.00251136919691319,0.0440159155702613,0.0270967756372009,-0.0749
"78",1956,0.25209304809071,-2.33537491581704,2.63905732961526,1.84582669049833,34,2.39789527279837,NA,NA,-1.27533333333333,-0.5775,-1.80416666666667,-0.223727707797018,0.745806667696556,0.0527632410474776,-0.155676542654545,0.104791414573118,-0.000445873097032035,0.492147065949361,2.73533333333333,0.0537280166537037,-0.169979481304605,-0.0340225558803855,0.289180223979397,0.0699583333333333
"79",1957,0.0236427776231576,3.50655789731998,-2.39789527279837,-2.42774823594805,15.3333333333333,1.88454120267902,NA,NA,0.618333333333333,0.960833333333333,0.2275,-0.777060990267721,1.17980668295536,0.63609657438079,0.770990035002505,0.452458075517733,-0.176228231315324,0.251219919882526,-1.07316666666667,0.0954411444573484,0.0729203756876551,0.0833757410729525,0.0653296368027547,-1.1473
"80",1958,-0.00700554921916741,-4.53974238066564,-0.510825623765991,2.89037175789616,11,-2.80839817493649,NA,NA,0.7815,0.8325,0.643333333333333,1.28627220319338,1.01980683554322,1.24942995857676,0.907990118925872,1.11587477905981,-0.192746652947712,0.138053110174479,-1.87841666666667,0.074316979231325,0.108483412163201,0.085312180908037,0.0352081717480761,-0.5478
"81",1959,0.182749426405199,2.73002910782099,-0.847297860387204,2.90872089656436,39,2.86695148368807,NA,NA,0.131916666666667,0.136666666666667,-0.0266666666666667,0.95293886986005,0.616473489494258,0.489430047586362,0.431323668425371,0.62254151884151,0.252345083006736,0.148105334422006,0.526166666666667,0.0542231887361169,0.349891066643234,0.181785527240921,0.223422944394324,-0.203458333333333
"82",1960,-0.0326244246762002,1.20397280432594,-3.02852209637698,-1.73460105538811,-8.66666666666667,-2.06897024181254,NA,NA,-0.278333333333333,0.0683333333333333,0.0575,0.56293916232017,-0.120859808235243,0.382763164753495,0.224323571786394,0.262291522656204,-0.0905103831043164,0.0260718313143098,0.7945,0.0892462235256808,0.20660319641307,0.135496752781764,0.0108403250966234,0.747741666666667
"83",1961,0.00795609497959937,-4.6759392568763,-2.96183072187831,-1.54044504094715,32,-3.2121868367174,NA,NA,-0.276083333333333,-0.0166666666666667,-0.8175,1.12627235578127,1.02980674653366,0.742763457213629,-0.182343183889884,0.679124843909667,-0.215667819452069,0.176307369375275,1.51208333333333,0.0230492214313216,0.0845401748420791,0.0454380537573282,0.049325565991019,0.970683333333333
"84",1962,-0.0514929971509464,3.59273559356103,-2.19722457733622,1.09861228866811,-14.6666666666667,1.12601126285622,NA,NA,-0.755916666666667,-0.215,-1.15833333333333,0.0129389715853065,0.019806835543223,-0.0839033747565594,0.757657032276272,0.17662486616206,-0.0572024963564779,-0.00666870909580375,1.32983333333333,0.0240701505654286,0.28856725393441,0.13684868895999,-0.00766713844172884,-0.093425
"85",1963,-0.106269609546462,2.70805020110221,-1.89711998488588,-3.17805383034795,-7,-1.73460105538811,NA,NA,0.0439166666666667,0.6575,-0.685833333333333,0.702938869860047,1.24647328604376,0.512763279194404,1.52799032237637,0.997541439368645,-0.147606697391948,-0.11818324001616,-0.561333333333333,-0.038022384843881,0.209156203808648,0.0666468866886785,-0.0626545110209467,-0.234733333333333
"86",1964,0.0421974724822611,2.87167962488401,2.66258782702545,-1.73460105538811,7.66666666666667,2.14006616349627,NA,NA,-0.77975,-0.341666666666667,-0.77,0.412938908007019,-0.200860049832743,-0.553903323893948,0.124323508208086,-0.0543752393778973,0.0135367472573584,0.0854221360387903,2.30783333333333,0.205115382999779,0.340119001909443,0.259062256651852,0.0864388057514276,0.544125
"87",1965,0.164445209426411,3.20545280453606,3.51650822817315,3.30810695859614,-9.33333333333333,2.94881535376624,NA,NA,0.689916666666667,0.900833333333333,-0.314166666666667,-0.283727809522277,0.463139825553824,-0.360570015991932,0.891323388680906,0.17754134718013,0.0186662788945657,0.20629663730265,-0.486,0.0327062215114839,0.111916302592522,0.0625806597674181,0.203767539759451,-0.837208333333333
"88",1966,-0.147985985124748,-2.19722457733622,3.19184715248028,2.92673940206704,-5.33333333333333,1.96944064646551,NA,NA,0.252833333333333,0.375,-0.459166666666667,0.406272088752459,0.34980675924929,-0.210570079570216,0.187990169788472,0.183374734555001,-0.146489564382243,-0.208916864204816,-0.457083333333333,0.0777076339691867,0.107657761916766,0.0869608921601532,-0.103248602905653,-0.95635
"89",1967,0.0460300609952728,2.484906649788,3.8642323415918,3.52636052461616,20.6666666666667,3.35282379737794,0.669559080935782,0.132571771744445,-0.591,-0.306666666666667,-0.734166666666667,0.132938857144389,0.916473362337657,0.0427633300570687,0.497990271513718,0.397541455263207,-0.0325058449857387,0.0585924884301114,0.49425,0.196135207192196,0.106831429408652,0.157890839571744,0.0885104847054468,-0.699741666666667
