Sample.ID,NLE.mean,ALA.mean,VAL.mean,ILE.mean,ASP.mean,PHE.mean,GLU.mean,TYR.mean,THR.mean,SER.mean,PRO.mean,GLY.mean,years,Location.2,Length,Sex,Lat,Long,State
BM_34990,15.67233381,21.88124426,20.15998951,NA,21.4531864,9.579375,26.68410622,NA,-8.889666667,16.73333333,25.267,8.896333333,1987,Coastal,152,F,46.277934,-123.486647,WA
BM_34991,15.51428705,24.80241731,25.59763424,NA,23.46189508,9.793436856,27.51266581,NA,-22.56736297,7.684477019,27.646,10.3395,1987,Coastal,142,M,46.185552,-123.187834,WA
NM_2048,11.72061858,23.92904808,27.10039527,NA,24.97109128,9.852350448,29.46098859,NA,-35.36649959,17.65777017,23.208,8.628333333,1981,Coastal,159,F,46.0511111,-123.9188889,WA
NM_2001,13.21372114,21.27546016,24.72562541,NA,24.02788956,10.29911985,28.29345852,NA,-21.6036817,20.79241881,16.502,9.665666667,1991,Coastal,155,F,46.1331,-123.5713,WA
SM_16097,13.628954,25.60126193,28.00741767,NA,17.98449415,10.37299081,26.70884572,NA,-21.81458105,21.0185741,25.77666667,15.04144444,1972,Coastal,77.5,F,46.929986,-124.168851,WA
SM_25705,14.37312715,22.20263101,26.44793986,NA,13.4027195,10.39486125,27.89960223,NA,-19.48129167,15.82633333,30.5535,8.240666667,1977,Coastal,NA,F,47.311683,-124.279235,WA
SI_276058,13.85736369,19.73631228,24.89545996,NA,24.12747092,10.47712633,23.9203968,NA,-28.7261659,15.76268861,28.1575,9.999,1942,Coastal,NA,F,46.490551,-124.0598,WA
NM_2025,7.287780522,19.42858615,19.98022396,NA,23.80688443,10.65287416,26.54270611,NA,-19.90632046,15.89787074,22.41333333,5.103,1992,Coastal,157,F,46.794664,-124.098201,WA
NM_2024,NA,22.35456077,24.32785191,NA,NA,10.7354811,26.86648645,NA,-26.80441624,15.74841065,26.86333333,42.17933333,1992,Coastal,156,F,NA,NA,WA
BM_80778,12.9354642,22.32636655,20.46448683,NA,24.24618199,10.78815292,29.57097451,NA,-10.96455241,15.08822251,22.30833333,7.725333333,2008,Coastal,NA,F,46.9734,-124.1559,WA
NM_2044,12.81956346,23.63175429,23.8133038,NA,25.07447506,10.81203959,26.54975115,NA,-27.37281986,18.40465283,19.56933333,10.046,1981,Coastal,158,M,46.4175,-123.5002778,WA
BM_20228,13.29155738,24.03993288,22.55807163,NA,25.88973439,10.86231661,28.54661061,NA,-14.97925227,16.09664186,27.22275,12.03325,1959,Coastal,NA,,46.0999,-123.935,WA
BM_35001,9.453697426,23.42481033,25.40885874,NA,24.21711218,10.87819771,28.26988212,NA,-16.39075765,14.43416667,27.23966667,9.769916667,1988,Coastal,NA,F,46.2706,-123.4558,WA
NM_2027,13.1606361,23.87848372,19.69618014,NA,23.67760235,10.98269079,26.76479722,NA,-12.91114002,15.26417126,28.513,9.097,1992,Coastal,168,M,46.625299,-123.957213,WA
NM_1984,14.42042447,22.70808279,22.3746653,NA,23.20179407,11.158561,29.75858825,NA,-28.96395404,17.7660232,24.83833333,34.786,1991,Coastal,148,M,46.23055556,-123.866666,WA
BM_34989,14.54837865,22.95908162,22.74430326,NA,25.87286813,11.16191237,29.17720619,NA,-26.61213359,20.11066667,28.43166667,11.00133333,1987,Coastal,119,F,46.185552,-123.187834,WA
NM_2032,13.00539347,24.02509236,25.12977435,NA,23.85571066,11.26091541,26.69066548,NA,-15.91735568,15.80330958,27.229,10.144,1992,Coastal,148,M,46.265153,-123.966564,WA
BM_80774,21.6492238,23.08981143,26.0357268,NA,22.42353823,11.29791967,26.26323411,NA,NA,NA,NA,8.536666667,1994,Coastal,NA,F,46.2693,-124.0801,WA
SM_25743,14.50693256,23.43498582,26.79255842,NA,14.92987844,11.41138875,26.06463402,NA,-21.361625,19.721,30.5295,8.595666667,1978,Coastal,NA,F,47.227824,-124.212433,WA
BM_80777,12.89827148,22.29341724,24.05227978,NA,24.28376389,11.43165893,28.14413316,NA,-24.2956701,15.56156787,20.058,8.088888889,2007,Coastal,NA,M,46.81,-124.0933,WA
NM_2067,10.09751988,21.18677913,16.96083115,NA,24.01933729,11.45499313,29.54245454,NA,-10.7834506,15.92255842,27.45833333,25.48433333,1982,Coastal,136,M,46.245821,-123.867945,WA
SM_25706,15.30327831,22.30383419,22.90750331,NA,15.34909006,11.52920804,28.01066638,NA,-7.219271536,26.39233333,28.61066667,10.70833333,1977,Coastal,NA,M,46.983304,-123.984406,WA
BM_34997,16.37027104,23.77243396,20.50875834,NA,21.89174822,11.55928479,26.86002282,NA,-21.49979038,18.721,29.25333333,11.62833333,1987,Coastal,108,M,46.185552,-123.187834,WA
SM_25740,13.24748675,20.33742567,26.51557818,NA,21.7084205,11.56626055,27.22231352,NA,NA,8.767114708,28.7525,11.80708333,1978,Coastal,NA,F,47.227824,-124.212433,WA
SM_15274,11.99825773,24.60193119,25.27584659,NA,16.23462689,11.62738235,30.57672664,NA,-8.698946392,13.20455556,24.16966667,8.380555556,1969,Coastal,NA,F,46.906289,-124.121322,WA
SM_25696,15.23742297,23.63141624,22.79005298,NA,14.10223625,11.63570475,28.3335746,NA,-22.79271406,21.448,28.52088889,15.74666667,1977,Coastal,NA,M,47.096914,-124.187536,WA
BM_34967,20.15124485,21.84407474,25.7273256,NA,27.06912758,11.93828522,25.48749785,NA,-13.77413531,13.02749012,26.87166667,9.890666667,1987,Coastal,124,F,46.185552,-123.187834,WA
BM_80773,15.01376976,19.70325515,26.99023797,NA,24.10649012,11.99954553,26.10441796,NA,NA,14.22407259,24.383,7.808,2007,Coastal,NA,F,46.4913,-124.0501,WA
NM_2016,NA,24.13070574,27.55959858,NA,NA,12.03476673,29.22332031,NA,-27.48700947,17.66229544,27.37266667,11.93416667,1991,Coastal,159,M,46.398712,-124.062234,WA
SM_25742,13.47819416,23.71439218,21.0549854,NA,14.59716838,12.30440507,29.57453909,NA,-7.492486254,19.60266667,27.57333333,11.732,1978,Coastal,NA,M,47.227824,-124.212433,WA
SM_25701,14.19662222,23.7884705,25.52622138,NA,17.3290281,12.48603469,28.57999307,NA,-14.54952116,16.70894781,25.47566667,10.3925,1977,Coastal,NA,F,47.311683,-124.279235,WA
SM_25896,12.13868449,23.32814304,25.1256555,NA,14.35289347,12.52489691,30.96695146,NA,-3.765232388,18.665,27.6465,9.583333333,NA,Coastal,NA,F,46.703882,-123.971109,WA
BM_34969,15.47317444,24.024625,23.94979167,NA,25.52725,12.55011945,27.69229167,NA,-3.870218546,18.82433333,29.46666667,11.04266667,1987,Coastal,104,M,42.2706,-123.4558,WA
SM_25711,17.85029167,23.825,23.68108333,NA,14.06079167,12.62169868,29.079125,NA,-18.81595833,17.07866667,20.29433333,7.547,1977,Coastal,NA,F,46.983304,-123.984406,WA
BM_34988,7.991490588,23.82843342,27.38628651,NA,26.56309192,12.64108407,28.90800816,NA,-21.64469864,17.389,31.37466667,10.72466667,1987,Coastal,138,M,46.1583,-123.2531,WA
NM_2064,11.19225941,23.38537392,26.94213138,NA,25.88728835,12.83990823,29.71810562,NA,-34.02342282,18.79167042,27.54333333,8.682333333,1982,Coastal,146,M,46.16805556,-123.9352778,WA
NM_2062,12.23577579,24.20212421,23.26671932,NA,25.41134425,12.91273121,29.9970903,NA,-1.262474654,20.27130465,27.23966667,10.20233333,1982,Coastal,154,M,46.2437222,-123.7333333,WA
SM_25702,11.36210095,25.32801031,27.45427749,NA,15.32324012,13.10449657,28.13262156,NA,-21.98938273,22.505,29.39766667,18.018,1977,Coastal,NA,F,47.311683,-124.279235,WA
NM_2045,12.27932858,20.76659044,26.28268443,NA,24.76978309,13.2075799,30.1020194,NA,-4.306246134,16.90561254,25.67766667,20.64266667,1981,Coastal,167,M,46.176001,-123.982239,WA
NM_1995,12.39021793,25.18517466,22.64190475,NA,23.77120336,13.26905558,27.95266015,NA,-5.835747928,15.14351517,30.85666667,10.19066667,1991,Coastal,170,F,NA,NA,WA
SM_25714,11.67806069,22.27262642,23.80933681,NA,18.68489794,13.3201865,27.95909584,NA,-16.48609164,17.84262124,28.03583333,12.629,1977,Coastal,NA,M,47.227824,-124.212433,WA
NM_2065,13.38147061,21.19140175,23.44987104,NA,23.65539556,13.35883333,25.8699176,NA,-22.94070833,15.23866667,26.01433333,15.39366667,1982,Coastal,152,F,46.96833333,-124.1672222,WA
SI_274156,13.63278419,23.36978526,26.54137286,NA,23.98296368,13.94583067,27.63340919,NA,-19.84617229,18.30140142,25.04733333,8.941333333,1942,Coastal,NA,F,46.619545,-123.95812,WA
NM_2050,13.94625469,25.28391198,24.08562673,NA,23.82141483,14.39043195,29.49715648,NA,-9.01291035,17.88143765,29.984,14.74633333,1981,Coastal,165,M,46.207228,-123.955586,WA
NM_2068,12.60160374,25.81127148,23.51947869,NA,24.32166463,15.17064089,29.03002339,NA,-10.06615851,16.80996907,30.10866667,33.96133333,1982,Coastal,176,M,46.204797,-123.949117,WA
SI_274144,32.0102305,25.84248335,26.2555719,NA,25.66628786,15.84088081,28.19665264,NA,-43.67725385,16.48415098,29.664,13.477,1942,Coastal,NA,M,46.619545,-123.95812,WA
SM_25695,15.72408848,22.02062561,27.78098661,NA,13.77729508,NA,27.3901444,NA,NA,NA,31.106,7.836333333,1977,Coastal,NA,M,47.096914,-124.187536,WA
SM_25700,15.30893584,20.21275427,26.67473347,NA,13.67733373,NA,27.81385835,NA,NA,NA,28.72866667,6.141333333,1977,Coastal,NA,M,47.311683,-124.279235,WA
SM_25712,9.981946735,23.20752792,26.71563746,NA,14.89595662,NA,28.40518299,NA,NA,NA,24.204,7.913333333,1977,Coastal,NA,F,46.983304,-123.984406,WA
BM_32516,15.42084278,20.81010223,25.0977573,NA,9.179434708,NA,25.11268428,NA,NA,NA,28.032,8.5615,1979,Coastal,133,F,46.3525,-124.0531,WA
NM_1917,9.904899275,22.61466976,24.9898119,NA,23.6131079,5.885112429,27.99969079,NA,-15.03551084,15.52627665,15.54,10.979,1998,Inland,145,F,47.2179,-122.6599,WA
SI_253042,14.27828165,18.68611062,21.75782653,NA,22.83488388,8.925944569,26.55679496,NA,-26.01126855,12.52795627,25.56877778,9.506777778,1928,Inland,NA,F,48.473108,-122.468463,WA
SM_16062,21.79572229,25.3458518,29.25999055,NA,15.46275601,9.599780069,28.95765765,NA,-21.70404854,23.05666667,27.07316667,11.18766667,1972,Inland,144.8,M,48.322464,-122.824309,WA
SM_15182,12.33999319,23.15328166,25.91909483,NA,25.04502158,9.725371948,25.6215866,NA,-23.61819932,13.33513629,29.01866667,10.91933333,1970,Inland,NA,M,47.228131,-122.677532,WA
SI_274154,13.92857123,25.91871755,29.43808148,NA,26.60924833,9.838522647,28.31712193,NA,-23.90604011,14.16300622,23.684,12.3665,1942,Inland,NA,M,47.095908,-122.686415,WA
RM_9723,14.93527019,23.40765588,28.29024759,NA,25.56287077,9.853526643,27.12400909,NA,-30.03478797,20.67335827,29.24066667,10.68166667,1977,Inland,NA,,48.4198,-123.274305,WA
SM_15210,13.99651289,22.38082517,25.69799828,NA,13.82722294,9.891491838,24.95623625,NA,-16.60929167,17.08933333,22.58333333,8.676333333,1970,Inland,NA,,47.368651,-122.546965,WA
SM_25894,13.49829596,23.8455189,23.24507818,NA,15.55036383,9.895883162,27.81556314,NA,-16.84985782,18.90666667,26.46333333,11.76666667,1977,Inland,NA,F,48.322464,-122.824309,WA
