,years.x,Location.2,TP,Sample.ID,AA,TP.norm,Year,years.y,d13C.s,d13C.norm,years,PHE.mean,PHE.norm,X.x,Col.Dis.An,UpInAn.45.Winter,UpInAn.45.Spring,UpInAn.45.Summer,UpInAn.45.Autumn,UpInAn.45.Annual,TUMI.45,LUSI.45,MEI,ONI,PDO,WA.SST.Wi,WA.SST.Su,WA.SST.Sp,WA.SST.Au,WA.SST.An,Col.Dis.low,Col.Dis.high,NOI,Fras.Dis.high,Fras.Dis.low,Fras.Dis.an,Dis.Total,NPGO,X.y,Herring.Biomass,Chinook,Chum,Coho,HarborSeal,HatcherySmolts,HakeBiomass,EulachonLandings,WildProduction,allSmolt
112,1942,Coastal,2.583806311,SI_274146,Glu,-1.945332983,1943,1942,-13.52184138,0.062500291,1942,7.499578292,-1.825931844,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,1942,Inland,4.684448237,SI_274152,Glu,1.285660438,1943,1942,-12.16804138,0.995812286,1942,11.61622728,-0.202037568,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,1942,Inland,3.787525602,SI_274153,Glu,-0.093894591,1943,1942,-10.70384138,2.005234227,1942,12.57958677,0.177978792,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,1942,Inland,4.622930066,SI_274154,Glu,1.191039454,1943,1942,-9.976541376,2.50663607,1942,9.838522647,-0.903288606,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,1942,Coastal,3.508739191,SI_274156,Glu,-0.522695449,1943,1942,-12.34274138,0.875373812,1942,13.94583067,0.71692094,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,1942,Coastal,3.451923365,SI_276058,Glu,-0.610083765,1943,1942,-12.05714138,1.072266933,1942,10.47712633,-0.65137865,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,1942,Coastal,3.98210061,SI_276059,Glu,0.205380864,1943,1942,-13.96144138,-0.240560688,1942,6.014049229,-2.411928403,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,1942,Inland,3.842665525,RM_4934,ASP,0.217082895,1943,1942,-13.75244138,-0.096475737,1942,14.94922054,1.112728081,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,1942,Coastal,3.302370875,SI_274144,ASP,-0.117289662,1943,1942,-13.69384138,-0.056076799,1942,15.84088081,1.464461254,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,1942,Coastal,4.185849452,SI_274146,ASP,0.42946939,1943,1942,-13.52184138,0.062500291,1942,7.499578292,-1.825931844,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
